begin_x,begin_y,begin_z,end_x,end_y,end_z
87.57483072272834,57.27126841176021,8.32,86.26093400365907,45.91451481808029,12.16
30.853142890346284,27.59714247689067,5.59,35.32663973728529,37.11705241120198,7.6
57.05660980499778,54.63604730475871,14.57,46.02706983231632,51.95011208967283,9.96
61.78220627124819,58.63864579016806,15.31,67.53400075557478,48.60224550380824,19.25
58.2244776379624,53.79112608484152,15.23,67.78428409520244,49.21523974886848,19.11
57.603309988081975,80.65743384023324,9.86,47.99373746766621,77.43288111287596,8.81
93.2921158931773,42.25393917654833,7.76,82.20518148266075,44.4151819950461,14.7
47.54547964312941,22.914536466105524,6.47,45.54248641422843,33.35314026721856,10.78
47.99301095579685,90.31550347196666,6.98,55.10447240707658,97.4862388340562,6.35
60.04547964313198,37.13315385623231,17.48,67.17437737932822,46.79002809023511,19.47
65.71808433349078,31.817045838105056,16.41,63.57596408125447,20.934556724585637,8.01
52.95000145301969,57.57657492876004,12.57,63.62391386474645,58.44286237430356,15.7
73.23857196826845,35.32482672502301,17.07,63.92069396413766,31.294561832934345,16.04
48.46015808897856,60.91555491911653,9.99,47.84008020691251,49.97397880630026,11.29
47.43686611839019,26.094355147644155,8.48,37.03503240242381,22.75972167471568,5.12
57.19028798930252,50.41571220940356,15.53,59.3367673127757,39.94050857695519,17.81
48.26545290750223,56.71116050404091,10.47,42.67567057045807,66.0771736567748,7.03
61.2972595972153,29.88453254729269,14.64,72.09576879485901,35.20897974024334,17.39
63.32313795007369,26.821373896276423,12.73,54.67474063526033,33.11874923857326,14.07
56.86226787945613,85.68667318969257,9.05,52.76074511057395,95.08618069304148,6.95
81.75801342593832,44.71389096397654,14.96,89.50480950858216,36.49982488065432,8.29
83.67418848624311,53.79336135258372,11.94,88.98281072912881,43.49176196170146,10.48
73.29051756705228,32.54886844188221,15.26,68.97176774868134,23.04518888826367,9.18
68.3705791752602,36.310629086228445,18.7,58.47803028101255,39.49596210678829,17.43
55.33731946179807,58.02626030182966,13.43,65.64143733108644,61.37413743111148,14.69
61.11127255819205,38.84612716992175,18.31,65.09146784457977,27.670513026135566,13.36
51.14098689372567,41.62383153501707,13.79,61.63036529016792,40.45526321355376,18.79
47.43577635058615,27.492454968382745,9.09,58.49946238121058,28.401525983789316,12.97
62.14546220685194,65.81663011785251,12.99,51.6019586759971,65.1855974127778,11.21
39.28830897096277,47.06591316483271,7.58,46.59120630030669,39.053646288730455,11.97
53.41315277090955,66.39491800866755,11.58,43.72911278369755,71.53742524496575,7.34
51.80356572026342,88.3464033105839,8.28,41.499084595040365,90.38472593289282,4.75
56.31302490482915,73.99491418640027,10.75,53.99944785097764,62.54738460378929,12.31
62.65002470139911,56.70713735081879,15.99,72.72638109906191,52.52102434960084,17.55
46.88108453691823,65.97259894852282,8.89,39.65665048966242,75.14496097661099,5.48
55.64281770364237,95.84528625150544,6.87,56.39330446659066,84.3699107647566,9.33
53.41315277090955,66.39491800866755,11.58,53.60349888116966,77.10942696914981,10.1
72.99882305076729,46.07996074917555,19.24,67.3095085873717,36.44659968759438,18.66
81.32864491005672,40.20034655427023,14.51,81.92656418005538,52.06143399066448,13.63
71.64278864316098,43.60355742598275,19.51,67.67276452296511,54.020016770893406,17.46
53.86177385138104,38.55586672225133,14.98,52.42618639388259,27.484402070562197,10.55
67.05450292057249,57.73123872763971,16.03,77.45488361280012,62.54246822003794,10.38
47.84843509343092,47.05562899442872,11.53,52.317936125078056,56.63919069448061,12.45
65.42711632907518,56.834089967231165,16.45,63.05723460521329,46.29951078714687,18.75
62.65002470139911,56.70713735081879,15.99,60.43198395861751,67.7530086441167,12.3
55.789209845681725,47.16920184175315,15.57,46.34855133532805,52.19421508141311,10.1
58.48493214379221,63.39254564343102,13.38,54.24464560750938,72.66967841241234,10.67
71.4716950974908,37.70832847997358,18.58,75.19652146115493,48.25036148427773,18.01
64.90366452587276,63.57087162129292,13.71,54.660936909711324,66.8096349374216,11.76
59.30661707012458,67.26367295204213,12.36,63.19200255732208,56.45054864251123,16.15
78.44947836447612,35.65581603659313,14.31,68.36876289558678,33.65328378209081,17.39
75.85982679957237,34.37388629137673,15.15,65.9396704542164,32.02952644177345,16.55
52.52499200836466,95.55861416209348,6.72,63.11390253116867,100.58665245173056,4.4
14.837188689660234,28.51381612014643,3.36,25.02470140361536,32.730927111485755,4.63
63.36527563860038,60.03323633259147,15.17,61.47561826159984,70.54902023027716,11.45
52.812690709368106,33.71098619531567,13.47,59.37817848943301,24.6993324275714,10.5
51.431954898141285,63.28438759903083,11.24,48.02679375780513,51.96978345481169,11.18
73.5756734765026,44.14598404595996,19.08,84.8732963296629,43.56688855222127,13.0
70.31145563918552,31.87296190900271,15.76,59.8355177123576,31.1661763210492,15.02
52.42618639388259,27.484402070562197,10.55,42.69165383161518,32.02192189453238,9.49
45.57881200778984,60.38187546050182,8.54,54.475313126612434,53.89216004523428,13.82
58.53215541541481,29.551700243001243,13.77,69.19662317281912,34.94105419187649,17.9
64.55384905989366,48.01517404292398,18.9,58.83874342506317,37.90690916719044,17.35
41.72539304291688,42.3563473873634,9.71,50.66439510621118,35.98859138364194,13.26
50.04686001568792,62.31765466757834,10.64,54.62969689924583,72.22777329478868,10.89
73.88262474208564,69.15484010306304,8.2,64.66427886431663,74.36620373261978,9.62
66.19976170410119,29.33652071529073,14.65,59.830068873327,37.99725406897742,17.69
48.623986515934405,80.07401594935119,8.83,39.65665048966242,75.14496097661099,5.48
72.00422829909131,30.74254558694811,14.36,63.870927900961945,23.94184533171898,10.27
28.85087617331468,32.39499011899693,5.64,36.2424079509385,40.385049508306864,7.64
73.87100055214476,33.42336781376832,15.56,70.15380256312964,23.697101524458464,9.39
78.26930342041815,38.39575286090103,15.8,69.72552381505213,31.0436057494873,15.45
58.2244776379624,53.79112608484152,15.23,67.53400075557478,48.60224550380824,19.25
91.85507541192976,40.77770781694569,8.37,89.41762808404097,51.513315574669065,9.29
63.03398622533151,33.4336559141182,17.1,59.78902095260437,23.63043427283949,9.71
75.48567318589711,33.574557858665855,14.83,70.15380256312964,23.697101524458464,9.39
47.43577635058615,27.492454968382745,9.09,36.83996396500247,21.86616767228232,4.7
48.32539013686977,52.02611503163851,11.3,42.76902734589922,62.46916932451179,7.11
60.082168492628085,40.86536215706258,18.27,61.05896370346322,28.95357846904248,13.97
36.877379326378254,21.79368008585187,4.66,31.801240882269045,31.824203099763963,6.47
75.40321408851716,44.7080777891888,18.5,64.26469733515148,48.21727437153845,18.89
59.45627851558642,50.65893150681382,16.5,49.108206678097936,52.61982656288492,11.51
78.44947836447612,35.65581603659313,14.31,72.94760396384251,46.31203091144706,19.27
65.67413036529067,31.618431244738957,16.32,68.78033187061718,20.945295894364268,7.55
46.876362209757005,39.03888742579257,12.08,57.15105634825331,40.44855490363116,16.82
48.96690011914418,90.80809652214222,7.17,48.623986515934405,80.07401594935119,8.83
54.24464560750938,72.66967841241234,10.67,43.72911278369755,71.53742524496575,7.34
