begin_x,begin_y,begin_z,end_x,end_y,end_z
74.42569236581265,37.63900388065112,17.52,75.40321408851716,44.7080777891888,18.5
67.77810874429215,29.19381257840089,14.32,68.3705791752602,36.310629086228445,18.7
62.14546220685194,65.81663011785251,12.99,54.660936909711324,66.8096349374216,11.76
62.40555345673673,25.3328709995701,11.38,70.05209090115977,26.39098058754037,11.57
60.082168492628085,40.69273656771691,18.21,63.40559704745365,47.68787639389621,18.68
54.82476533666717,34.758559510867975,14.63,48.14521519281181,34.148000665195525,11.98
75.48567318589711,33.574557858665855,14.83,78.5086890819743,40.94764970873539,16.31
75.43554386678672,43.40366688941375,18.42,72.29301676788847,36.35580358702968,17.81
70.10694254744173,37.66807550338856,18.8,65.67413036529067,31.618431244738957,16.32
69.04223940018572,21.620067242584184,8.03,63.66096597017722,26.631231962797425,12.55
74.20628578070549,37.040123185785454,17.32,81.5484147510986,38.67393905367658,13.78
77.4359943041449,41.61801785685024,17.21,70.2453430589077,39.2906817367844,19.2
57.19028798930252,50.41571220940356,15.53,63.37944262009439,51.89601577927573,17.56
56.37150911045795,84.32926366358389,9.35,57.06678097119993,77.71255043075803,10.12
47.692598297048455,90.33827990920436,6.9,45.8821307140157,96.37843664791671,5.09
65.67413036529067,31.618431244738957,16.32,60.26924529946571,27.056253708225185,12.48
84.85477027694236,56.72725311240503,10.03,78.89737293306791,60.51283774089796,11.17
72.99882305076729,46.07996074917555,19.24,69.3847897474608,53.22559886084384,17.73
47.68642294614849,63.75411292711009,9.36,52.69535904216548,67.65603580189337,11.14
63.32313795007369,26.821373896276423,12.73,65.27309581238679,34.633764816258065,18.12
63.11063322774618,66.966940099624,12.49,64.42162389932766,61.051431832540175,14.82
60.242727616161446,40.34032733121128,18.2,66.59897997733165,35.47064131387804,18.5
81.32864491005672,40.20034655427023,14.51,75.05594141408086,35.5457847954114,16.27
48.40385341895787,97.59652601003474,5.43,47.692598297048455,90.33827990920436,6.9
61.93005143703662,85.86444133618211,8.07,59.72109209264278,79.31993645652568,9.65
65.9389439423367,48.4327871776332,19.09,64.9280026735586,56.01336015107431,16.65
46.875998953822325,55.48318369517788,9.87,50.04686001568792,62.31765466757834,10.64
66.75953910086501,33.78881720908261,17.57,71.87490918601311,38.27812685681081,18.65
80.9966289849185,46.973802664075066,15.34,75.91068263055215,52.690016204156855,16.39
54.660936909711324,66.8096349374216,11.76,61.76803928976452,65.13911864264885,13.13
65.78129086629114,20.23023910513184,7.33,63.66096597017722,26.631231962797425,12.55
72.48190985440985,31.374634792529218,14.72,68.58453692132646,36.1317196102109,18.64
81.92656418005538,52.06143399066448,13.63,77.52499200836982,57.77325710067316,13.28
69.55915259655349,21.937760205566537,8.19,67.99206649036873,29.20007564345245,14.35
61.64707506320472,97.53356859486207,5.5,56.777265990523055,93.03874806616524,7.58
51.58379587922156,58.26227580655868,11.88,49.108206678097936,52.61982656288492,11.51
69.6423382058028,53.10668053428103,17.74,75.0265176832991,58.53047335065003,13.77
58.94917322948613,46.41308604039025,17.16,61.63036529016792,40.45526321355376,18.79
86.6441690157221,43.561075190778936,11.97,81.46704542152271,46.77929669907597,15.03
76.49625119874054,37.701619653724975,16.48,82.4104210862739,41.15560381742314,14.06
63.8498590566986,74.3724588785121,9.86,64.79505100113354,67.75971182619786,12.02
65.28871581760922,48.600457029672455,18.84,66.9985615064968,56.426409540396655,16.54
58.27714974862592,44.7630793267314,17.34,51.14098689372567,41.62383153501707,13.79
54.8127778907916,26.08630193386626,10.32,48.66721397227548,26.65270686715969,9.05
