x,y,z,name,dist
92.94741954681072,320.251638267142,0.56,栃木駅北口,0
94.12162649010328,316.1624436703349,0.61,旧栃木警察署跡地,569.9365702867592
98.4121519743914,318.221574085787,0.57,岩下の新生姜ミュージアム,783.7018099206579
94.45187219290668,313.1544206341558,0.65,とちぎ山車会館,971.7254325112542
92.28292516297928,312.2760182758751,0.62,栃木市立文学館,1071.7806217917066
94.82014618875893,311.279099961987,0.62,栃木市役所本庁舎北,1227.6566739462344
94.19768307620096,307.0103251960631,0.58,嘉右衛門町伝建地区ガイダンスセンター,1781.0820979585628
100.0,305.42241136159174,0.53,新栃木駅西口,2200.6447150347253
25.778779411876837,12.887700784573772,0.78,別邸向日葵,42043.36563589124
22.393594167402377,11.492310939420086,0.89,サイクルショップかみやま,42324.317779362136
19.9435046341236,8.683455297855005,0.99,JR日光駅,42763.35717250293
19.47408872201271,8.699774592526053,0.97,日光ステーションホテルクラシック,42775.71375740754
17.97697486931281,8.21435704581847,1.02,東武日光駅前広場①,42885.34111207851
18.01767181449876,7.959573803588201,1.03,東武日光駅,42917.06778190391
12.332842301336164,6.271983857202449,1.01,日光市郷土センター,43319.87605335652
0.0,6.050082612710407,0.87,アネックスタートルほとり庵,43790.77831426205
18.061704574875076,0.4629964134200262,0.92,菓子工房Garcon,43887.49146597429
6.0084035856042295,3.528264451997139,1.02,日光ゆば遊膳,43891.873069087706
5.907261669345565,2.138082741555258,0.98,輪王寺三仏堂,44074.06775558265
3.073886971905318,2.467332464663994,0.96,山楽,44134.12528827519
0.6147240213451471,2.758776175389132,0.9,金谷ホテル歴史館,44188.14579245222
2.869735082903368,1.6975588138712948e-10,0.9,大猷院入口,44457.89347167876
