x,y,z,name,dist
26.204066655806823,26.848960778214117,5.36,オンザウォール,0
25.862873932574374,26.154523574167623,5.32,高地トレーニングフィットネスＤＯＰＥ,514.0792548885287
25.279204358287547,27.1353454864148,5.93,東静岡駅南緑地,645.3913847365772
25.191852449208945,26.752149793224103,5.9,ALSOK静岡ビル,678.0483217124242
26.97914370484233,27.595232994675275,4.77,西峯田緑地,715.966699839495
26.16737337738487,27.939637172428014,5.45,池田公園,724.4872969530257
25.063562889953637,27.06549203432817,6.07,東静岡駅北口,774.0191436546654
27.32759293462936,27.1948376188272,4.62,聖一色公民館,783.630796959908
24.83149159545965,26.61310709736564,6.0,静岡鉄道　長沼駅,928.5927520206454
25.052472757293348,27.64870728308992,6.2,静岡ろうきん　静岡中央支店,933.6249297454606
26.58126808136522,25.4696278655338,4.7,コジマ×ビックカメラ　静岡店,949.5437138233982
24.74852097335732,26.908404021170917,6.14,トヨタユナイテッド静岡　長沼店,971.438914777894
24.37953446087701,27.2048643572408,6.34,静岡ダイハツ販売　東静岡店　カーステーション前,1239.4384903530067
27.89743407189913,26.074637554407875,4.21,国吉田公園,1240.6847672535964
25.56015438560103,25.06064621271975,4.92,フードマーケットMom　古庄店,1262.3600074824162
24.683623160030685,28.05761157382939,6.29,中部電力ＰＧ（曲金）,1293.0393094214896
24.28109241914201,27.384007511954383,6.39,マークイズ静岡,1330.6495011936634
24.82409817368742,25.35714659494988,5.25,しずてつストア　流通通り店（静岡銀行　沓谷支店）,1351.817996766967
26.095903633591863,24.64914517840311,4.48,古庄川合公園,1462.0116872339388
24.445253765509516,28.313107888508807,6.44,天神屋　曲金店,1523.3525163072677
26.77486619960399,29.137464550552032,4.59,フードマーケットＭｏｍ　小鹿店,1566.3110032611526
24.18347186871676,25.63559036909172,5.53,JA静岡市　千代田支店,1569.777125103127
23.966735078637807,27.733597286908168,6.61,静岡鉄道　柚木駅,1603.4415274015648
26.366858849993992,24.35764385886354,4.24,瀬名川西公園,1657.2707440848849
25.572887500873048,29.29511177979416,5.53,静岡競輪場,1677.6870262379323
26.846335943393104,29.338052999824598,4.5,小鹿公園,1707.1424853030635
28.27929061487299,25.180651087593503,4.04,中吉田公園,1772.367519751312
24.712786101462765,29.16094048503953,6.13,フードマーケットMom　曲金店,1828.9761822657804
28.67442793398944,25.584448059951114,3.93,谷田宮の後公園,1848.831384057025
23.92073156539272,28.69625986930636,6.6,静岡市消防団静岡第8分団(曲金),1955.2123222874816
24.737978501571504,24.078505464436844,4.28,上土整形外科 スポーツクリニック,2082.66530622916
26.820732797631432,23.753728293247256,3.86,天神屋　瀬名川店,2095.2817314542526
25.768539347380365,23.67332678335446,3.85,瀬名内坪公園,2127.812727576756
23.249025505935176,25.615701715976293,5.51,千代田職員住宅,2133.784823184799
26.51335813324264,23.603957117422237,3.81,小澤内科胃腸科,2163.7934824922163
24.152118283794596,29.510986121045782,6.29,イトーヨーカドー　静岡店,2235.23651446964
27.048012059492315,23.54194200969849,3.73,瀬名川公園,2266.0821628349954
28.110200320654737,23.918040095753607,3.78,常葉大学 静岡草薙キャンパス,2323.8532446659106
22.82828504105317,25.82394617868307,5.66,しずてつストア　千代田店,2351.6557187105795
23.92442827628078,24.12146306140169,4.31,サイクルベースあさひ静岡流通通り店,2363.959715321706
28.766845706132543,24.378202928440352,3.8,旧草薙駅前駐車場,2368.536015277268
28.781084888806426,24.261199680574165,3.76,草薙駅北口自転車等駐車場  ,2429.6580384240183
27.114142109781643,30.438772603186838,3.71,静岡大学,2459.476740762601
29.187449255796903,24.59515773070554,3.85,静清信用金庫　草薙支店,2489.092984076414
22.65275973159009,25.525450322089437,5.4,TOKAIモバイルショップ　唐瀬街道店,2525.8098508645458
29.180877325334432,24.42500394741597,3.82,静岡銀行　草薙支店,2555.151286433976
23.00695940052984,28.986916852577885,6.83,リコージャパン株式会社　静岡支社,2561.4069159112923
25.895596669672983,22.96991877855756,3.34,瀬名第二公園,2582.9434400228247
22.493253502634158,27.97756956261764,6.76,清水山公園,2585.6083507192343
29.5138551354849,24.737563788509863,3.71,天皇原公園,2614.393753932762
24.22372494280524,30.363422580751884,5.92,有明公園,2681.23879626556
27.02021827024057,22.852401983994948,3.32,常葉大学 静岡瀬名キャンパス,2707.9730041782364
26.789105382273977,30.961867421685536,3.65,定食屋まるやま,2758.4938253471005
22.22250365905849,28.794343715041613,6.88,TOKAI日出町ビル,2952.7449123602537
23.345139988966345,30.28690262134609,6.39,NAKAVANBOX　八幡５丁目,2974.167373445659
21.87508129341157,27.971052551494843,6.66,鷹匠公園,2981.4758269480417
29.8532679608802,24.112771262784108,3.69,サイクルベースあさひ清水草薙店,3036.3428310634013
26.98661927574825,31.48011421804267,3.13,From TEN,3118.8864331744057
21.472276722087603,27.148881640290465,6.11,城東保健福祉センター,3161.718080879873
21.552372124611637,25.55035308105305,4.99,北安東一丁目ゆめみらい公園,3219.407695690329
21.38560938909722,26.24995165990012,5.51,しずてつストア　安東店,3237.644445075268
21.871795328180333,24.4676261645655,4.23,静清信用金庫　城北支店,3292.940930681664
22.58799883348109,30.3154723505218,6.61,大坪町公園,3333.660580984226
21.894290498495256,29.430417937848468,6.93,静岡駅南口,3346.4411671204016
21.751583766785476,29.193021412530484,6.95,ホテルアソシア静岡,3352.4968387745084
26.2951152757696,21.758929159119827,2.62,西奈図書館,3378.942384374084
30.34315061084748,23.890292768197497,3.54,一里山東公園,3387.29350643952
30.950095772196025,25.02220431705712,3.33,四方沢公園,3389.0577821452225
23.717686297113172,31.324563719995087,5.64,静岡市駿河区役所,3403.010522117824
21.918346502296,29.64097692247676,6.89,NPC24H静岡南町第4パーキング,3406.697755361816
21.516774167930823,29.08742140954152,6.9,松坂屋　静岡店,3461.266967682246
30.358895860915435,23.670986607570157,3.54,一里山北公園,3482.0380414500623
21.863854245537528,29.782327986518183,6.87,トヨタレンタカー　静岡新幹線口店,3488.7685625582767
21.056419521919224,27.845857824940925,6.37,駿府城ラン・アンド・リフレッシュステーション,3496.0614341359533
23.50272940487137,31.47993045197023,5.68,アピタ静岡店,3563.762383618482
24.12021703800574,31.91845607128488,5.01,登呂博物館(登呂遺跡）,3641.663132304628
21.40820040006683,29.497285219183336,6.97,静岡駅北口駅前広場,3649.866699417628
21.052494663729107,28.714974388246965,6.75,静岡市歴史博物館,3652.1072043556783
20.997454746100065,28.785487791937072,6.77,追手町地下駐輪場(営業時間5時30分～23時30分) ,3702.660819079081
21.22528166883152,29.38767751039086,6.86,浮月楼,3723.716489571102
20.56425499637744,27.51268165150589,5.97,外堀北ポケットパーク,3786.738617167107
20.733756036248625,28.387800808575616,6.5,駿府城公園,3788.44448823901
20.82685838448384,28.79985777754057,6.65,静岡市葵区役所,3812.7899858603146
21.85207953678902,30.59080797095164,6.62,ニッポンレンタカー　静岡バントラックセンター,3820.566676439061
25.205270140573067,32.72012812327091,3.73,JA静岡市　高松支店,3954.911822656983
20.742162630636084,29.257400254957258,6.8,フレンド久喜ビル,3978.1051709868175
20.797558527834116,29.44214730467124,6.74,QUTビル,3995.6281172240288
23.009971535325786,32.00281843664286,5.46,小嶋デンタルクリニック,4030.9817232259056
27.157270403448425,32.9169056284317,2.05,フードマーケットMom　大谷店,4078.9409002315497
20.08998068126437,26.26866952515132,4.77,城北公園,4095.268312309333
24.36283080428165,32.78444026744819,4.2,フードマーケットMom　高松店,4128.023840859765
20.697062757830565,29.69227115344484,6.74,TOKAIビル,4129.471928113608
19.947178108899895,27.550113901235274,5.52,西草深公園,4198.414171869829
31.255416708312385,23.056843780509787,3.25,イオン 清水店,4204.672122982495
20.741149458020853,23.67299247249404,3.03,フードマーケットMom　城北店,4208.598459940059
20.388866602135906,29.32869616952901,6.52,静岡市上下水道局（中央調理製菓専門学校）,4213.200884783933
20.624223861857228,29.87184957209644,6.69,静岡ろうきん　本部ビル,4228.037743115902
20.091760579097635,28.91130819984738,6.37,中部電力(本通り),4300.119923669799
21.34576706066167,31.184398026189434,6.36,新川公園,4334.208584906569
20.33519583668329,29.670884656953827,6.54,常磐公園,4339.364490547315
20.630385046666767,30.34554568530563,6.54,しずてつストア　宮本町店,4382.656267688017
20.121471181400292,29.350918630899734,6.4,ココロハナステーション,4383.480059349043
31.417798156846622,22.741236518905875,3.18,清水狐ヶ崎自転車等駐車場,4417.954521525256
24.05477156380464,33.26351447545247,4.02,下島北公園,4494.076018666863
20.428024354479337,30.342204207002915,6.45,LiveCasa葵吉野町,4496.5518299371215
21.467484689454505,31.773785933810093,5.95,静岡銀行　馬淵支店,4546.731280526246
24.64186401854423,33.582052797918834,3.37,かつ政　高松店,4590.67237908699
32.809815178145925,24.529302784715284,2.9,pion 清水店,4666.070771315814
19.462224406779477,28.745051239917032,5.77,住吉公園,4669.020952144743
19.580519155123422,29.138383538070546,6.02,番町公園,4671.489761665932
32.66468504707761,23.96133250053393,3.02,木の下公園,4715.01210926121
19.23562972100681,28.11659839310685,5.29,厚生苑　在宅介護支援センター　さくらの郷,4722.722497403938
21.50048125699229,32.289813640670936,5.67,中原桔梗公園,4784.68030576962
19.480023385119875,29.646824808595465,5.92,通車公園,4853.903108315408
19.00027246128548,27.928608352068743,5.09,コア神明,4857.234753791128
19.88406019340652,30.49390650309992,6.13,駒形第二公園,4860.382907363889
32.41577318077452,22.784031150832924,3.17,昭和工機株式会社,4943.00710119064
23.08897161610866,33.63082675852263,4.15,静清信用金庫　西脇支店,4959.489547004316
20.544265374550847,31.88103576657829,5.75,サイクルベースあさひ静岡インター通店,5041.179883203566
32.67947189062206,22.91291573686972,3.08,天神屋　大坪店,5046.439998894659
19.463593558959804,30.58596291385508,5.79,安倍川町公園,5134.757235836662
18.910319163063857,24.32154005197186,2.49,菖蒲公園,5144.643002423097
18.719048603532816,28.823417837521067,5.15,新富公園,5161.008850246471
18.439330813182025,27.52454634880071,4.33,フードマーケットMom　若松店,5197.451638302659
20.51907297444211,32.3917138666977,5.41,緑ヶ丘公園,5284.168899240303
21.74651790372097,33.43577998485848,4.68,ヨシコンショールーム,5288.610459295352
