id,min,max,mean
6252,-70,10,-30.0
6253,-70,0,-35.0
6254,-70,0,-35.0
6255,-70,20,-25.0
6256,-70,10,-30.0
6257,-70,10,-30.0
6258,-70,10,-30.0
6262,-70,0,-35.0
6263,-70,0,-35.0
6266,-20,-10,-15.0
6267,-20,-10,-15.0
6268,-10,10,0.0
6269,-10,10,0.0
6270,-10,10,0.0
6271,-10,10,0.0
6272,-10,10,0.0
6273,-10,10,0.0
6274,-10,20,5.0
6275,-10,0,-5.0
6276,-10,0,-5.0
6279,-10,10,0.0
6280,-70,10,-30.0
6282,-10,10,0.0
6283,-20,20,0.0
6284,-10,20,5.0
6285,-20,-10,-15.0
6287,-20,-10,-15.0
6290,-70,10,-30.0
6291,-20,0,-10.0
6292,-70,0,-35.0
6294,0,30,15.0
6296,-70,0,-35.0
6297,-70,10,-30.0
6299,-70,20,-25.0
6300,-10,20,5.0
6301,-10,20,5.0
6302,-20,0,-10.0
6306,0,20,10.0
6307,0,20,10.0
6308,-20,10,-5.0
6309,-70,0,-35.0
6310,-70,0,-35.0
6311,-20,20,0.0
6312,-20,20,0.0
6313,-10,10,0.0
6314,-20,0,-10.0
6316,-70,0,-35.0
6317,-20,10,-6.666666666666667
6318,-70,10,-30.0
6319,-20,10,-5.0
6322,-20,20,0.0
6323,-20,0,-10.0
6327,-10,40,15.0
6329,-20,10,-5.0
6335,0,20,10.0
6338,-70,0,-35.0
6340,-10,20,5.0
6341,-10,0,-5.0
6342,-10,20,5.0
6343,-10,10,0.0
6344,-10,10,0.0
6345,-10,10,0.0
6346,-10,0,-5.0
6349,-10,10,0.0
6350,-70,0,-35.0
6351,-70,0,-35.0
6352,-70,10,-30.0
6353,-10,20,5.0
6354,-10,10,0.0
6355,-10,20,5.0
6356,-10,20,5.0
6358,-10,20,5.0
6359,-10,20,5.0
6360,-10,20,5.0
6361,0,20,10.0
6362,0,20,10.0
6363,-10,20,5.0
6365,0,10,5.0
6366,-10,20,5.0
6368,-10,30,10.0
6369,0,30,15.0
6458,0,10,5.0
6462,-70,0,-35.0
6463,-20,10,-5.0
6543,-10,-10,-10.0
6544,-10,-10,-10.0
6545,-20,-10,-15.0
6546,-20,0,-10.0
6645,-20,0,-10.0
6646,-20,0,-10.0
6647,-20,20,0.0
6648,-20,20,0.0
6649,-20,20,0.0
6650,-20,20,0.0
6651,-20,-10,-15.0
6652,-20,10,-5.0
6653,-10,20,5.0
6655,-20,10,-5.0
6661,-20,20,0.0
6694,-10,30,10.0
6703,-20,0,-10.0
6704,-20,20,0.0
6722,-20,20,0.0
6723,-10,0,-5.0
6724,-10,10,0.0
6725,-20,20,0.0
6826,-10,0,-5.0
6858,-70,0,-35.0
6859,-70,0,-35.0
6860,-10,10,0.0
6861,0,10,5.0
6862,0,10,5.0
6863,0,20,10.0
6864,-20,0,-10.0
6865,-20,0,-10.0
6866,-10,30,10.0
6867,-20,0,-10.0
6949,-70,0,-35.0
6950,0,20,10.0
6951,-10,0,-5.0
6952,-10,10,0.0
6953,-10,10,0.0
6954,-70,0,-35.0
6956,-20,0,-10.0
6969,0,20,10.0
6970,-10,20,5.0
6971,-70,0,-35.0
6972,-70,0,-35.0
6973,0,20,10.0
6974,-10,10,0.0
6975,-70,0,-35.0
6976,-10,10,0.0
7006,-20,0,-10.0
7007,-20,10,-5.0
