id,weight
847,12.5
848,12.37
849,12.47
850,12.56
851,12.57
852,12.58
855,12.09
856,11.58
857,11.62
1402,12.02
1404,13.57
1405,12.84
1406,11.67
1503,12.41
1504,11.67
1558,11.14
1559,9.81
1566,4.21
1707,12.12
1708,11.59
1709,11.85
1710,11.69
1711,9.45
1714,9.6
1721,13.28
1723,12.66
1817,9.98
2027,13.54
2028,8.28
2056,11.14
2057,12.49
2058,4.59
2062,8.82
2063,10.37
2064,11.55
2065,12.23
2066,11.57
2067,12.62
2068,12.57
2069,11.51
2070,11.92
2071,13.01
2193,11.41
2384,10.07
2495,9.63
2499,12.15
2509,10.44
2547,8.86
2571,10.81
2589,10.57
2590,10.89
2591,11.41
2593,11.77
2595,9.16
2596,13.45
2661,13.69
2662,11.95
2663,9.78
2664,8.7
2673,13.74
2674,13.52
2675,13.46
2676,13.48
2677,13.6
2678,13.71
2681,12.76
2709,9.74
2710,11.87
2711,11.95
2712,11.84
2713,13.03
2714,12.3
2715,12.98
2716,12.9
2717,13.05
2718,12.94
2719,13.08
2720,10.49
2851,12.61
2852,12.61
2853,8.6
2854,7.27
2855,6.14
2856,6.24
2857,13.02
2858,9.94
2859,9.39
2860,5.86
2869,11.58
2870,11.8
2871,12.23
2872,13.61
2948,6.49
2949,13.08
2969,12.11
2970,12.15
2971,13.23
2972,12.35
2973,11.74
2974,12.6
2975,11.13
2997,12.48
3002,12.86
3003,13.53
3026,11.41
3027,8.93
3074,12.07
3075,10.01
3116,11.97
3117,13.34
3255,12.59
3280,8.5
3407,11.67
3408,11.3
3467,10.83
3468,12.81
3472,12.9
3473,12.87
3474,12.81
3569,12.49
4069,11.82
4070,12.33
4110,9.83
4111,9.81
4112,7.01
4244,13.11
4245,9.94
4246,11.22
4323,13.53
4324,13.37
4343,13.24
4344,12.97
4345,6.52
4346,6.94
4414,10.4
4453,12.51
4455,2.24
4456,3.59
4458,5.14
4493,10.16
4497,12.57
4783,10.87
4784,11.03
4785,11.82
4786,12.2
4787,12.15
4788,12.08
4789,12.48
4790,12.1
4791,12.28
4792,12.46
4793,12.04
4794,10.81
4795,11.2
4796,10.55
4797,11.41
4798,12.22
4816,6.9
4817,7.06
4836,3.48
4837,4.01
4901,10.56
4902,8.38
4986,12.41
4987,10.77
4988,7.73
5015,11.45
5016,10.71
5028,12.32
5029,12.23
5081,9.43
5097,9.97
5098,11.06
5099,12.11
5101,13.13
5102,13.23
5103,13.65
5197,8.78
5198,9.4
5200,12.37
5515,10.25
5516,9.29
5517,6.39
5518,12.52
5519,12.76
5520,12.27
5521,12.99
5522,13.57
5523,11.3
5524,11.15
5629,9.83
5631,12.76
5634,12.81
5635,11.87
5636,12.18
5641,13.31
5642,13.33
5677,13.79
5678,13.36
5715,6.28
5716,6.3
5757,11.17
5758,11.37
5759,11.74
5760,7.84
5837,12.23
5930,7.83
5931,8.25
5932,7.9
5933,6.18
5934,6.23
5935,7.53
5936,6.55
5938,9.28
5939,5.82
5940,6.77
5955,13.75
5959,13.73
5960,13.61
5963,10.78
5964,1.09
6080,13.16
6081,13.15
6082,13.22
6083,12.83
6084,12.89
6085,13.06
6086,12.89
6087,12.65
6088,11.12
6089,12.62
6090,12.52
6091,11.4
6092,13.42
6093,13.18
6094,11.54
6095,11.5
6096,12.26
6097,13.09
6098,12.55
6099,11.79
6100,13.11
6101,11.69
6102,11.79
6103,11.01
6106,13.13
6108,13.87
6109,7.59
6110,7.57
6111,13.54
6112,10.6
6115,13.89
6116,8.5
6117,12.9
6118,3.22
6119,2.28
6120,2.63
6140,11.8
6141,10.94
6142,11.12
6143,10.33
6145,9.78
6146,13.6
6147,13.2
6148,12.9
6149,11.58
6151,4.62
6152,4.9
6153,11.74
6154,2.1
6155,2.14
6156,11.74
6157,11.92
6158,11.0
6160,2.65
6161,2.62
6162,0.58
6163,0.6
6164,0.55
6165,1.12
6166,5.67
6167,1.75
6168,2.76
6169,1.79
6170,5.72
6171,9.73
6172,2.15
6173,2.16
6231,10.82
6232,11.91
6233,12.11
6250,12.73
6252,11.43
6253,12.5
6254,12.28
6255,10.43
6256,12.22
6257,11.91
6258,12.19
6262,11.52
6263,13.41
6266,11.19
6267,12.36
6268,4.8
6269,4.44
6270,4.89
6271,4.89
6272,4.71
6273,4.71
6274,5.96
6275,6.68
6276,8.56
6279,4.61
6280,13.88
6282,4.84
6283,5.8
6284,5.39
6285,12.15
6287,11.67
6290,11.18
6291,12.67
6292,13.33
6294,2.03
6296,13.39
6297,13.26
6299,10.23
6300,5.15
6301,5.22
6302,10.36
6306,0.71
6307,1.25
6308,12.89
6309,13.71
6310,13.56
6311,12.06
6312,11.35
6313,5.01
6314,6.98
6316,12.33
6317,13.25
6318,10.86
6319,13.07
6322,8.04
6323,7.03
6327,0.98
6329,11.13
6335,3.71
6338,7.31
6340,4.59
6341,3.92
6342,6.88
6343,8.06
6344,8.44
6345,8.33
6346,4.86
