begin,end
00010053,00010785
00010185,00010880
00000468,00000607
00010130,00010745
00000480,00010156
00000146,00000180
00000181,00010001
00000605,00010891
00000698,00010964
00000595,00010913
00000596,00010696
00010210,00010841
00010238,00010768
00010700,00010718
00010152,00010684
00010008,00010238
00010154,00010339
00010001,00010838
00010278,00011000
00010319,00010442
00010308,00010908
00010339,00010552
00000931,00010734
00010308,00010940
00000777,00000973
00010383,00010642
00000916,00010837
00010628,00010935
00010304,00010880
00010493,00010907
00000461,00010159
00010338,00010445
00000538,00000594
00000237,00010338
00000707,00010860
00010336,00010685
00010935,00010995
00010556,00010879
00010438,00010723
00000996,00010509
00010102,00010827
00010001,00010438
00010157,00010969
00000180,00010684
00010201,00010232
00010464,00010865
00010231,00010490
00010693,00010837
00010623,00010783
00010382,00010620
00000567,00010878
00000283,00010191
00010313,00010846
00010281,00010396
00010702,00010903
00010630,00010656
00000635,00010303
00000668,00010569
00000237,00010271
00010075,00010829
00010387,00010527
00000611,00010785
00010089,00010382
00000629,00010629
00010480,00010582
00010908,00011013
00010462,00010884
00000618,00010789
00010357,00011033
00000765,00010798
00000156,00010953
00010097,00010944
00010161,00010271
00010240,00010613
00010532,00010824
00010496,00010903
00010314,00010567
00010203,00010338
00010936,00010976
00000125,00000910
00010115,00010562
00010911,00011029
00000161,00010085
00010555,00010700
00010229,00010429
00010174,00011035
00000384,00010329
00000538,00010190
00010008,00010472
00010336,00010962
00010726,00010734
00000491,00000856
00000565,00010846
00010611,00010718
00000784,00010080
00000538,00000595
00010003,00010387
00010438,00010900
00010476,00010957
00010601,00010942
00000487,00010568
00010628,00010645
00000859,00010436
00010141,00010338
00000764,00010108
00010051,00010915
00010046,00010596
00000870,00010302
00000633,00000768
00010850,00010966
00010555,00010704
00000378,00010790
00010511,00010517
00010236,00010613
00010564,00010899
00010177,00010893
00010313,00010664
00010631,00010669
00010028,00010610
00000399,00000491
00000539,00010765
00010024,00010882
00010088,00010697
00010640,00010849
00000286,00010125
00010207,00010904
00010110,00010577
00010472,00010716
00010067,00010942
00000977,00010521
00010555,00010613
00000213,00010514
00010379,00010680
00010093,00010197
00010216,00010503
00010564,00010733
00010551,00010619
00010075,00010139
00010351,00010834
00010120,00010140
00000637,00010036
00010150,00010157
00000319,00010965
00000371,00010765
00000189,00010963
00010027,00010186
00010701,00010915
00000377,00010680
00010502,00010627
00000201,00010888
00010316,00010650
00000769,00010850
00010602,00010743
00010773,00010801
00010180,00010377
00010492,00010965
00000796,00010905
00010080,00010926
00010186,00010808
00010191,00010223
00010047,00010426
00000437,00010101
00000760,00010194
00010028,00010209
00010379,00010576
00010145,00010691
00010516,00010940
00010026,00010226
00010456,00011028
00010381,00010693
00010184,00011013
00010599,00010845
00000283,00010147
00010734,00010988
00010522,00010781
00000607,00000669
00000189,00010069
00010072,00010350
00000277,00010050
00000272,00010901
00000303,00010322
00000196,00010782
00010022,00011013
00010296,00010914
00010782,00010800
00010153,00010835
00010026,00010745
00010109,00010706
00010032,00010978
00010428,00010584
00010236,00010477
00000565,00010313
00000721,00010502
00010307,00010795
00010716,00010895
00010022,00010934
00010582,00010852
00000480,00010221
00010153,00010665
00000764,00010718
00010151,00010531
00010275,00010561
00010057,00011016
00010051,00010784
00000196,00000629
00010028,00010934
00000207,00000930
00010502,00010614
00000666,00010990
00010722,00010981
00010544,00011033
00000157,00010219
00010025,00010505
00000629,00010429
00010390,00010690
00010723,00010826
00010611,00010735
00010229,00010308
00000548,00000636
00010492,00010906
00010192,00010444
00000721,00010776
00010443,00010539
00010577,00010735
00010039,00010175
00010053,00010719
00010114,00010316
00010417,00010544
00000703,00010163
00010411,00010551
00010531,00010654
00000633,00000728
00000163,00011008
00010172,00010755
00010008,00010505
00010064,00010192
00010045,00010244
00000212,00000870
00010381,00010392
00010642,00010808
00000407,00010512
00010567,00010939
00010289,00010398
00010010,00010292
00010179,00010685
00000913,00010468
00010904,00011012
00010533,00010892
00010125,00010808
00010220,00010276
00010203,00010952
00010355,00010613
00010145,00010275
00010204,00010900
00010107,00010353
00010447,00010599
00000716,00010180
00010465,00010512
00010264,00010628
00010426,00010917
00010224,00010980
00010118,00010633
00000903,00010801
00000913,00010551
00010827,00010897
00010092,00011007
00010466,00010664
00010223,00010421
00010235,00010551
00010229,00011021
00010035,00010250
00010092,00010438
00010666,00010890
00010038,00010885
00010284,00010409
00010078,00010750
00010333,00010580
00000372,00010611
00010067,00010725
00010266,00010704
00000156,00010493
00010269,00010993
00000539,00010499
00010339,00010601
00010087,00010640
00010513,00010947
00010043,00010917
00010067,00010497
00010524,00010946
00000611,00010719
00010151,00010689
00000301,00010631
00010077,00010173
00010152,00010163
00000491,00010412
00010308,00010556
00010549,00010938
00000635,00010299
00000857,00010012
00000537,00010988
00010539,00010650
00000309,00010795
00000146,00010338
00010171,00010318
00010057,00010571
00010516,00011033
00010534,00010842
00010114,00010544
00010514,00010633
00010147,00010272
00000760,00010909
00000974,00010303
00000399,00010808
00010528,00010766
00010360,00010594
00010117,00010122
00010727,00010803
00010120,00010163
00010988,00011000
00010311,00010496
00010287,00010818
00010088,00010110
00010881,00011018
00010017,00010706
00010642,00011026
00000387,00010050
00010735,00011018
00010485,00010756
00000777,00010154
00010025,00010648
00000519,00010786
00010125,00011026
00010428,00010693
00010154,00010230
00010101,00010210
00000915,00010848
00010059,00010600
00010882,00010988
00000777,00010722
00000978,00010927
00000450,00010165
00010280,00010396
00010684,00010880
00010073,00010644
00010124,00010269
00010014,00010756
00010282,00010807
00010073,00010406
00010122,00010703
00000910,00010641
00000576,00010155
00010580,00010834
00010027,00010830
00000796,00000912
00000302,00010748
00010021,00010072
00000857,00010043
00000350,00010732
00010224,00010630
00010057,00010919
00010178,00010721
00010155,00010579
00000549,00010196
00010100,00010934
00000686,00010431
00000490,00010536
00010233,00010447
00010687,00010931
00010750,00010824
00010070,00010329
00010022,00011021
00010607,00010935
00000635,00010906
00000286,00011011
00010059,00010194
00010202,00010835
00010520,00010674
00000213,00000893
00010051,00010561
00010443,00010569
00010900,00010905
00000635,00010874
