begin,end
00000856,00010077
00010017,00010729
00010082,00010698
00010274,00010329
00010121,00010640
00000565,00010019
00000410,00010615
00010079,00010339
00000126,00010706
00010195,00010884
00000636,00011000
00000153,00010917
00010081,00010191
00010721,00010962
00010038,00010242
00010667,00010871
00000997,00010137
00010217,00010375
00010033,00010756
00010023,00010599
00000519,00010045
00010074,00010094
00010808,00010897
00000909,00010904
00010180,00010396
00000618,00011030
00000871,00010390
00010336,00010961
00000855,00010399
00010225,00010232
00000633,00000859
00000706,00010633
00010068,00010898
00010539,00010922
00010003,00010225
00000272,00010747
00000487,00010381
00010148,00010320
00010350,00010530
00010043,00010175
00010530,00010846
00010853,00011025
00010119,00010641
00010519,00010809
00000855,00010987
00010123,00011010
00010059,00010412
00010444,00010466
00000667,00010647
00000450,00010720
00010539,00010671
00010241,00010634
00000302,00010521
00010609,00010891
00010033,00010212
00010625,00010882
00010125,00010280
00000450,00010671
00000153,00000457
00000436,00010730
00000902,00010151
00010794,00010980
00010131,00010700
00010429,00010625
00010229,00011013
00010533,00010770
00000653,00010734
00010562,00010739
00010052,00010352
00010135,00010749
00010012,00010180
00000156,00010419
00010154,00010382
00010077,00010316
00010228,00010787
00010352,00010357
00010067,00010646
00010150,00010378
00010068,00010735
00010485,00010988
00010175,00010903
00010359,00010593
00010170,00010247
00010117,00010552
00010648,00010697
00000873,00010397
00000162,00010739
00010493,00010743
00000764,00010003
00010165,00011016
00000351,00010186
00000629,00000931
00000232,00010333
00010058,00010152
00010713,00010946
00000490,00000703
00010024,00010212
00010060,00010165
00010966,00010985
00010422,00010950
00010597,00010988
00010248,00010914
00010423,00010557
00010376,00010642
00010413,00010467
00000383,00000893
00010180,00010383
00010882,00010936
00000859,00010360
00010585,00010664
00010042,00010248
00010205,00010426
00000437,00010106
00010476,00010578
00000932,00010593
00010019,00010051
00010383,00010669
00000599,00000605
00010472,00010628
00010489,00010586
00010017,00010589
00010051,00010126
00000916,00010138
00010005,00010200
00000181,00010618
00010664,00010799
00010001,00010336
00010210,00010995
00010382,00010552
00010127,00010969
00010558,00010803
00010026,00010607
00000437,00010413
00010054,00010609
