id,dist
3837,991.8807300888574
5386,1084.7725945737554
4049,1418.8654681397766
4051,1991.405454922209
4048,2153.409064366105
4050,4728.73610355714
5385,4971.859637965554
5388,8289.599153758987
5433,10053.542437974367
5389,10141.028821832218
5383,10341.46449434271
5382,10526.026492164112
5392,10530.847352995053
5384,12376.653519639993
3441,12502.317734610204
5390,16679.984413675196
4119,18008.690158006113
5391,18577.00108190603
4895,21297.309904743033
2328,23448.755325216953
784,24957.671798559
780,25005.86431476165
9192,25125.602891779738
442,25308.64592559229
443,25797.454298531775
2880,25860.880762932808
444,26190.51183205253
781,26480.874270629465
782,26889.55685733051
2844,27470.636773514987
