id,dist
781,419.87862756583445
2880,1646.6797548478585
444,1657.01857802061
443,2852.899197267205
442,2859.7658122035627
9192,3007.4630718529115
780,3184.098945114509
784,3525.1422756044594
2328,3647.334769443945
4895,7744.532357445252
2844,9163.78482474825
4119,11553.11399214256
3441,14413.132752631522
5384,14514.05702055196
5433,17704.88243094847
5383,17750.617705544857
5382,17804.17782293037
4051,25815.445587364437
4049,26114.192493982835
4050,26401.197548961354
3837,26405.19854213811
5385,26794.57454799011
5387,26889.55685733051
5386,27014.368144648004
4048,28064.762588013335
5388,28071.236174296155
5389,29475.90912742318
5392,30072.013671466506
5390,34582.62902870027
5391,35488.340630194536
