id,dist
4119,3963.728798759421
784,4458.496825014013
2328,4481.823675442163
780,4701.628925360934
9192,4875.523387787078
442,5060.351163467108
443,5359.228012326626
2880,6145.182299656018
444,6292.839701557198
2844,6758.046861286273
781,7486.693194530946
782,7744.532357445252
3441,9257.13752390358
5384,9695.235868732963
5433,13842.998348353016
5383,14140.52791929285
5382,14350.954868313984
4050,19864.073270988323
5385,20210.11454896883
4049,20278.203816627996
4051,20647.69500259392
5388,20995.92423263576
3837,21023.650929637675
5386,21185.032176760924
5387,21297.309904743033
4048,22069.014130462318
5389,22220.99607626004
5392,22799.113434437164
5390,26978.413511007042
5391,27813.483583534573
