id,dist
8053,117.45487277900789
8047,282.5101433490058
5562,2200.1368792402277
5563,2243.8482025649346
5042,3176.9223994998933
4934,3334.723842293259
4935,5106.503731013692
4938,5477.706037049857
4936,5526.562106638463
9891,6387.273237641082
5130,7022.9038272556145
9894,7076.1070369165
6830,7372.222052761762
3704,7410.155561662622
6831,7436.368775057534
9892,7738.043177915984
9893,7881.794431821099
9890,8202.757082763428
3624,8211.175654579405
4010,8597.464221172633
4011,8843.145006898943
3453,8887.734724550515
6968,8901.093828462735
3455,8901.766903837664
4355,8914.065578892714
4356,9138.961171617624
5650,9169.274145468282
9465,9190.447734155758
4333,9307.461085464362
4357,9351.15980343536
3454,9369.299529796459
5107,9404.206021439351
5561,9413.572490953286
6829,9542.684546828445
5106,9673.48130251771
4334,9735.305842281758
4224,9739.923175069764
4225,9874.742308491486
4027,9882.569422305503
5864,9969.077667874128
3456,10220.740494457967
5351,10303.21553526388
3452,10518.028646880408
3451,11176.669215612426
4075,11489.90540790124
7552,11747.30953258023
4969,12003.545906721009
4268,12151.441990987601
9230,12279.877910363428
3458,13203.61633115055
9553,13459.359285567049
3450,13826.7116495168
4074,13878.147874241646
8124,13895.879707200365
3449,13953.984027582124
7623,13970.29721747134
9520,14076.222909372233
5651,14119.816311022569
4181,14183.633209609363
8060,14215.73336700895
8125,14248.31887409043
6851,14456.221694106815
9554,14492.06276209628
6849,14791.087477562653
4032,14802.34967280634
7140,14974.177738888879
3625,14988.451746365765
5095,15019.321540957151
5156,15033.068679646824
9556,15608.363617057385
9555,15814.531049721454
3448,16222.084809715994
9962,16277.306804290056
9961,16325.290926079779
3447,16427.934903276724
4779,16892.97244373958
4033,17200.581514783604
6580,17495.013451223083
3860,17746.663373524112
7304,17902.280494579383
9468,17924.896111406946
6570,17961.541533746367
6845,18013.608487969017
6839,18027.199648553113
9519,18169.605730376006
9972,18191.03781449429
3885,18224.618899709734
10236,18473.745115224883
9960,18477.510655476013
4071,18555.93135861553
9232,18586.253042699274
5143,18814.27827721576
