x,y,z,name,dist
91.56051701738488,29.61375321915066,0.53,◆小豆島◆GEORGES GALLERY ＋ KOHIRA CAFE,0
93.01076338392878,32.985970708832895,0.47,◆小豆島◆島宿真里(まり),996.3320351652304
88.32431973127535,27.543386089139798,0.59,◆小豆島◆小豆島町役場前,1045.292347269613
91.4593605630771,34.194489097941464,0.52,◆小豆島◆一徳庵,1242.7316012106353
85.03086789203606,27.98580795149793,0.63,◆小豆島◆草壁港 駐輪場,1832.945888661295
92.4864809288028,36.91844432689398,0.42,◆小豆島◆坂手港 観光案内所,1997.3183661377263
80.03744811938364,30.258774375602435,0.63,◆小豆島◆オリーブユースホステル,3144.39075447932
76.72153954728986,31.63344271279337,0.61,◆小豆島◆オリーブナビ小豆島,4079.977829557382
76.30072869738211,30.34384917926193,0.63,◆小豆島◆オリーブ公園 オリーブ記念館裏駐車場,4162.327245464681
84.08542595128755,15.95468429142875,0.17,◆小豆島◆寒霞渓ロープウェイこううん駅,4226.570675339524
80.35474219772244,41.27501568639724,0.34,◆小豆島◆二十四の瞳映画村・壺井栄文学館,4396.591185382516
75.42437661492352,31.273522999779303,0.6,◆小豆島◆オリーブ園,4419.427313173321
63.84702041978179,31.17699843127509,0.53,◆小豆島◆ふるさと村,7562.682661918168
65.6651390918136,17.871991861093136,0.24,◆小豆島◆中山千枚田・中山農村歌舞伎舞台,7739.3315969699715
100.0,1.6788140785710723,0.0,◆小豆島◆福田港,7914.288021883338
62.09566500758525,30.663286814241143,0.56,◆小豆島◆国民宿舎小豆島,8032.945914074464
60.22157309751213,27.068316139405194,0.61,◆小豆島◆ギフトハウスナガセ,8565.924367894699
59.97373978445948,27.216801774882377,0.61,◆小豆島◆池田港バス停付近（国道沿い）,8630.118857169073
79.13310941790438,8.150585402221313e-11,0.01,小豆島 大部港,8712.350403981303
64.67211989872136,47.79974109728267,0.03,神浦コミュニティーセンター,8833.783813901486
58.38153719371218,27.223755631877324,0.66,◆小豆島◆井上誠耕園らしく園前,9062.595978913392
47.77595733625489,27.816055418628803,0.93,◆小豆島◆エンジェルロード,11938.867223227558
47.01188891807824,25.53801744513082,0.92,◆小豆島◆迷路のまちセトノウチ島モノ屋,12186.900219627943
46.8196916548963,24.83727236034182,0.92,◆小豆島◆土庄町役場,12257.545332765969
44.62459659649298,28.917182122936826,0.87,◆小豆島◆マルナカ温泉,12789.08322194712
42.486149152491286,28.788337408577387,0.82,◆小豆島◆ビーチサイドホテル鹿島荘,13372.156472364582
42.67699766295256,23.81374141865552,0.89,◆小豆島◆土庄港観光センター,13409.88433305666
42.61798973127062,23.82805960932378,0.89,◆小豆島◆土庄港 マリンレンタカー,13425.397468241315
42.38162081638186,23.912741356267965,0.89,◆小豆島◆土庄港 フェリーターミナル入口,13486.71702701041
42.05994329169134,23.86896869204933,0.86,◆小豆島◆オーキドホテル,13575.126168265231
41.51774469661807,29.187958953130764,0.78,◆小豆島◆ホテルニュー海風,13634.692281090078
40.69298240585865,19.37481264113234,0.64,◆小豆島◆ホテルグリーンプラザ小豆島,14132.351939596732
2.3096378834981044,82.23079758824596,0.25,ことでん片原町駅前ポート,28216.266368623623
1.005157967606876,83.87253763290205,0.27,丸亀町ポート,28749.967853895847
0.0,83.67855986196798,0.27,高松市役所ポート,28958.897057576636
1.8626612307445003,87.84753320442641,0.23,JR栗林駅前ポート,29122.312230175663
