id,dist
3672,996.3320351652304
1607,1045.292347269613
3433,1242.7316012106353
252,1832.945888661295
219,1997.3183661377266
1492,3144.39075447932
232,4079.977829557382
225,4162.327245464681
234,4226.570675339524
228,4396.5911853825155
246,4419.427313173321
222,7562.682661918168
231,7739.3315969699715
235,7914.288021883338
241,8032.945914074464
1506,8565.924367894699
1602,8630.118857169073
1610,8712.350403981303
8055,8833.783813901486
1547,9062.595978913392
224,11938.867223227558
1778,12186.900219627945
248,12257.545332765967
1604,12789.08322194712
236,13372.156472364582
1546,13409.88433305666
213,13425.397468241317
214,13486.71702701041
242,13575.126168265233
1550,13634.692281090078
238,14132.351939596732
7846,28216.266368623623
7847,28749.967853895847
7839,28958.897057576633
7848,29122.312230175663
