id,dist
236,285.2322988425533
1604,849.6359012278976
214,1449.7969159314368
242,1449.980681981626
213,1484.1137502708837
1546,1491.2380167843207
224,1745.1347029385133
1778,1794.4854492213815
248,1865.05406781677
238,2670.4861354766826
1547,4625.174912907524
1602,5056.515737993076
1506,5128.00916962754
241,5620.820725827261
222,6107.64255206226
231,7258.3526868173985
8055,8081.453692045616
246,9255.419668019313
225,9481.94331000965
232,9614.496174139176
1492,10498.847850843427
228,11079.219054510322
252,11859.394618339295
234,12137.817523420486
1607,12759.910318931243
1610,12944.025070313828
3283,13634.692281090078
3433,13675.137208232874
219,14045.357051533236
3672,14067.779311821098
235,17586.603341340837
7846,17931.788361051924
7847,18502.032097772826
7839,18625.071093557315
7848,19247.02927955476
