id,x,y
161,94.58556368516471,92.32847601672465
162,92.58337970084905,89.95818902323661
163,96.77787927387774,91.47571722191572
164,92.66996545496464,90.41672304802188
166,100.00000000000001,91.5203705876186
212,93.66257739903516,89.02512488815802
1564,98.88866738276622,92.08379591651283
1565,90.6035116325451,90.44867131536083
1756,91.04090358632199,91.10868579879282
1785,92.3792634557543,85.40223505728312
1786,94.5561066760313,102.15141032366348
2983,93.7194085984713,97.62273000012942
3086,92.3441530812378,101.83386624013514
3087,92.78571067266762,100.11035934000353
3297,94.80068911548808,89.80643194655697
3633,95.32169136791177,94.42414764196712
7316,94.93830488897461,92.52950686886714
7405,19.461859124084206,19.905289595092643
7460,26.65334617936646,14.336941854835915
7470,12.671794083603652,10.430343446487479
7501,7.672628487602471,8.13945479351686
7523,46.54835263908238,39.39285205891727
7525,92.97134575387813,94.61015690733797
7535,13.007187709578508,9.748757837706417
7581,25.806184781730572,38.96386040885721
7655,16.107924717996752,12.799841030704162
7765,19.166455905234702,40.89354664859353
7766,7.055013196139891,17.769666862635308
7783,30.01823954201751,5.2160795139238045
7784,6.896183383266429,17.500533186891346
7785,11.305689368398365,10.428446482101126
7834,18.596001582936804,13.778922430328874
7904,7.3506000333229595,18.444656258191667
7905,14.859186569980295,14.699286847964432
7906,19.197103096552247,14.23517721255444
7907,17.489548712668093,12.18636158830426
7908,8.085740724757063,11.572602919720328
7909,23.260831401761,34.38996382668749
7910,12.98979716320097,13.107394321574809
7911,10.786323616486328,17.071370005186676
7913,8.133526539575183,13.118423390165749
7914,19.610840179360284,19.184552794866843
7915,14.657629216588193,13.281201773386904
7916,9.388305864913628,17.233762707306052
7917,19.01991472344117,14.658921864870848
7990,21.652040882755887,1.7413021824648466e-10
8041,13.74731837076024,21.54288541457253
8054,6.201355022413693,20.40475481943501
8080,16.69400978924622,8.993526003711372
8081,14.422865780175899,8.599145801644216
8082,15.471148496051326,23.342167693762033
8083,12.994528137393054,14.653462214618301
8084,12.893660197034036,14.646910632783653
8085,17.993483213968474,12.90505272420537
9216,7.275256409868549,14.053804494497506
9217,21.81612875390404,47.21100683713341
9218,22.384708539258536,39.23123538399732
9219,11.360943576437146,8.586367602212787
9511,14.034628350735645,14.218834422469074
9712,16.627380736301653,23.723537308348472
9741,0.0,16.568281803995077
9742,17.265972988810322,31.956445261742907
9804,11.186581886021841,17.075446211272027
9915,18.531285426513872,14.842620311250801
9916,26.71030668019765,2.1410829777223044
