x,y,rot,dist,total_dist
-870.7615297434372,364.8548696649932,249.7502808306997,0.21305489904732977,0.21305489904732977
-870.835270698364,364.65498304319334,262.1770388000563,0.07739490650026262,0.29044980554759237
-870.8458051204906,364.57830842221193,244.58977467785922,1.2266659037919831,1.5171157093395755
-871.3721629711807,363.4703117378565,157.18698269844185,0.20689360022106537,1.7240093095606408
-871.5628723373757,363.55052956292025,169.73753882614247,0.2189129448548468,1.9429222544154876
-871.7782831071805,363.58953055876776,243.1058800370775,0.200763462030212,2.1436857164456997
-871.8690970910891,363.4104808784748,174.93883202934978,0.29137754899796353,2.435063265443663
-872.1593385836354,363.43618597650106,182.32026213404322,0.09852313368542084,2.5335863991290837
-872.2577809421828,363.4321972530422,151.34302018678028,0.42141516552369707,2.9550015646527807
-872.6275754846212,363.63429311672115,157.6331654069113,0.7314090439538183,3.6864106086065993
-873.3039580367183,363.9126199619876,168.06906623307336,0.19937544268749838,3.885786051294098
-873.4990264741293,363.9538373354224,257.88452317084165,0.11422997003821111,4.000016021332309
-870.7615297434372,364.8548696649932,70.79507387099562,1.3174256767799315,1.3174256767799315
-870.3281654122636,366.0989780888476,159.80384081140375,0.23494145387368448,1.552367130653616
-870.5486617651749,366.18008816899254,162.68596878995945,2.8088291325439356,4.361196263197551
-873.2302170817914,367.01602009191055,181.5663136696218,1.8485736483275665,6.209769911525118
-875.0781000261895,366.9654913170055,267.76044076455605,0.21380173679818792,6.423571648323306
-875.086454912708,366.7518528875758,178.74454876015255,0.6878085965918844,7.111380244915191
-875.7740983988112,366.76692277693843,269.07023082340316,0.08954457064209437,7.200924815557285
-875.77555142255,366.6773899960507,180.0,0.029423730781786617,7.230348546339072
-875.8049751533318,366.6773899960507,88.6089405078647,0.059853879438437396,7.290202425777509
-875.8035221295931,366.73722623595467,175.31500466008205,0.14651843192337252,7.436720857700881
-870.7615297434372,364.8548696649932,70.79507387099562,1.3174256767799315,1.3174256767799315
-870.3281654122636,366.0989780888476,162.4635773573682,3.043496332836693,4.360922009616624
-873.2302170817914,367.01602009191055,181.5663136696218,1.8485736483275665,6.209495657944191
-875.0781000261895,366.9654913170055,267.76044076455605,0.21380173679818792,6.423297394742379
-875.086454912708,366.7518528875758,178.74454876015255,0.6878085965918844,7.111105991334264
-875.7740983988112,366.76692277693843,267.27344159716233,0.32836202806664905,7.439468019400913
-875.7897184040338,366.43893247690977,200.3544823481977,0.057342418766184275,7.496810438167097
-875.8434802825117,366.4189872165082,263.20183673202126,0.12275048689470158,7.619560925061799
-875.85801051993,366.2970997510597,352.00000658193864,0.07006373806280707,7.689624663124605
-875.7886286362295,366.287348771339,261.1862248000734,0.08297659319319982,7.772601256317805
-875.8013425939746,366.2053520013026,178.19260262837426,0.042158662613399796,7.8147599189312045
-870.7615297434372,364.8548696649932,70.63064295012512,0.37020368427603784,0.37020368427603784
-870.6387492372039,365.20411988351947,339.8258758731238,0.9214440138437061,1.291647698119744
