x,y,rot,dist,total_dist
-973.5113771759499,265.9048038977659,336.01036380792726,1.7041183640881807,1.7041183640881807
-971.9544622359571,265.2119581223946,284.08985157216114,2.342689259892455,4.046807623980635
-971.3841504170564,262.9397483174607,274.3462858728377,10.866387112280552,14.913194736261188
-970.5606492110506,252.1046103562881,303.62847382781536,6.511387574448996,21.424582310710186
-966.9546075383278,246.68292873530788,0.6968587745953414,4.455663600160751,25.880245910870936
-962.4992734881747,246.73711931884628,274.9682625183553,6.6859560568887275,32.56620196775967
-961.9202435268207,240.076283583107,305.4110128356954,6.785684316989003,39.35188628474867
-957.9883612798701,234.54583932916637,333.76123588619816,1.8268914051152223,41.17877768986389
-956.3497137543666,233.73814725093047,269.6891490230343,2.9460351364684096,44.1248128263323
-956.365697015534,230.79215547214545,333.84840032592217,2.05497985444442,46.17979268077672
-954.5210833745481,229.8864277439285,256.16993943675175,1.1412393615912948,47.32103204236802
-954.7938885821777,228.77827405461665,333.84001552521295,2.2526270067550644,49.57365904912308
-952.7720060446217,227.78513789280993,358.1346794855459,6.164813910016171,55.73847295913925
-946.610458864938,227.58447175799648,291.5144838602005,2.9943104766216964,58.73278343576095
-945.5123361716187,224.7987901931324,333.8416766915891,3.495043083129345,62.227826518890296
-942.3752579117613,223.2579897049249,303.72933312118425,3.5241571358014903,65.75198365469178
-940.4183981866687,220.32705409762627,346.93314751517914,6.405878320084172,72.15786197477595
-934.178387724897,218.87876321223615,281.55634675894913,3.298345206963189,75.45620718173915
-933.5176251780327,215.6472815147855,311.13437714493045,3.7792955229534972,79.23550270469265
-931.0315015547826,212.80083390772614,319.8608604775453,3.4012424937718744,82.63674519846452
-928.431315567742,210.60823651325603,347.7715383507891,3.779336481256657,86.41608167972119
-924.7377292145329,209.80773411479294,316.07325538562503,8.755739284285381,95.17182096400657
-918.4316061724834,203.7335442434677,296.64193633191854,8.037728586801336,103.2095495508079
-914.8273807794444,196.54921127851844,315.5820830897991,9.539962305297601,112.74951185610551
-908.0134259394251,189.87231827168682,335.6379680433891,9.456263309220498,122.20577516532602
-899.399174682555,185.97160153539068,350.6209763282004,4.116963897728691,126.32273906305471
-895.3372468106566,185.30068149641727,276.48296222833517,1.7534179543487076,128.07615701740343
-895.1392723257475,183.55847581798622,320.2236470707509,4.066701778818335,132.14285879622176
-892.013818255831,180.9566302778577,333.09288374025334,11.607194023967804,143.75005282018955
-881.6632036267895,175.70384721446112,1.8518806724947865,2.0440189554858916,145.79407177567543
-879.6202522449596,175.76990129734037,286.326352189296,6.493448303772737,152.28752007944817
-877.7948911685636,169.5382941358974,351.14584694197976,1.2065844302652693,153.49410450971345
-876.602685187913,169.35257691251837,266.61679032648703,2.166713580169178,155.66081808988264
-876.7305512772524,167.18963955751093,5.935580227187359,2.3658557959204476,158.0266738858031
-874.3773793264171,167.4342932247476,299.7926296888202,1.7195466580119048,159.74622054381499
-973.5113771759499,265.9048038977659,336.01036380792726,1.7041183640881807,1.7041183640881807
-971.9544622359571,265.2119581223946,284.08985157216114,2.342689259892455,4.046807623980635
-971.3841504170564,262.9397483174607,274.3462858728377,10.866387112280552,14.913194736261188
-970.5606492110506,252.1046103562881,303.62847382781536,6.511387574448996,21.424582310710186
-966.9546075383278,246.68292873530788,0.6968587745953414,4.455663600160751,25.880245910870936
-962.4992734881747,246.73711931884628,274.9682625183553,6.6859560568887275,32.56620196775967
-961.9202435268207,240.076283583107,305.4110128356954,6.785684316989003,39.35188628474867
-957.9883612798701,234.54583932916637,333.76123588619816,1.8268914051152223,41.17877768986389
-956.3497137543666,233.73814725093047,269.6891490230343,2.9460351364684096,44.1248128263323
-956.365697015534,230.79215547214545,333.84840032592217,2.05497985444442,46.17979268077672
-954.5210833745481,229.8864277439285,256.16993943675175,1.1412393615912948,47.32103204236802
-954.7938885821777,228.77827405461665,333.84001552521295,2.2526270067550644,49.57365904912308
-952.7720060446217,227.78513789280993,358.1346794855459,6.164813910016171,55.73847295913925
-946.610458864938,227.58447175799648,291.5144838602005,2.9943104766216964,58.73278343576095
-945.5123361716187,224.7987901931324,333.8416766915891,3.495043083129345,62.227826518890296
-942.3752579117613,223.2579897049249,303.72933312118425,3.5241571358014903,65.75198365469178
-940.4183981866687,220.32705409762627,346.93314751517914,6.405878320084172,72.15786197477595
-934.178387724897,218.87876321223615,281.55634675894913,3.298345206963189,75.45620718173915
-933.5176251780327,215.6472815147855,311.13437714493045,3.7792955229534972,79.23550270469265
-931.0315015547826,212.80083390772614,319.8608604775453,3.4012424937718744,82.63674519846452
-928.431315567742,210.60823651325603,347.7715383507891,3.779336481256657,86.41608167972119
-924.7377292145329,209.80773411479294,316.07325538562503,8.755739284285381,95.17182096400657
-918.4316061724834,203.7335442434677,296.64193633191854,8.037728586801336,103.2095495508079
-914.8273807794444,196.54921127851844,315.5820830897991,9.539962305297601,112.74951185610551
-908.0134259394251,189.87231827168682,335.6379680433891,9.456263309220498,122.20577516532602
-899.399174682555,185.97160153539068,350.6209763282004,4.116963897728691,126.32273906305471
-895.3372468106566,185.30068149641727,276.48296222833517,1.7534179543487076,128.07615701740343
-895.1392723257475,183.55847581798622,320.2236470707509,4.066701778818335,132.14285879622176
-892.013818255831,180.9566302778577,333.09288374025334,11.607194023967804,143.75005282018955
-881.6632036267895,175.70384721446112,1.8518806724947865,2.0440189554858916,145.79407177567543
-879.6202522449596,175.76990129734037,286.326352189296,6.493448303772737,152.28752007944817
-877.7948911685636,169.5382941358974,339.5194044398108,1.9698531087072702,154.25737318815544
