id,lon,lat
17,139.777587,35.707252
75,139.7597654,35.6546215
76,139.578239,35.681758
77,139.694862,35.734776
79,139.737392,35.707615
81,139.477258,35.670067
110,139.584426,35.748659
112,139.588661,35.636521
118,139.643571,35.626882
119,139.708961,35.653137
120,139.744627,35.649936
142,139.561673,35.70339
182,139.7192448,35.777223
184,139.653978,35.705526
185,139.744396,35.698742
239,139.77528,35.699899
247,139.58167,35.711558
662,139.717327,35.648569
748,139.617042,35.704099
764,139.700917,35.572679
1426,139.45904374123,35.676921005538
1473,139.799661,35.697128
1474,139.805354,35.693611
1475,139.823294,35.717123
1477,139.816347,35.718299
1478,139.612677,35.640633
1479,139.804745,35.726367
1480,139.659848,35.646262
1481,139.644035,35.64027
1523,139.614646,35.724977
1524,139.638946,35.722938
1525,139.65874,35.71526
1529,139.804332,35.706091
1530,139.808797,35.706685
1531,139.801662,35.715482
1532,139.829964,35.720486
1533,139.819187,35.733879
1556,139.467186,35.758123
1792,139.638191,35.611597
1795,139.665927,35.662057
1796,139.816143,35.706796
1797,139.828544,35.710896
1905,139.835652,35.764359
1918,139.839373,35.774957
1932,139.41538,35.669701
1988,139.6578608,35.7381403
1992,139.565874,35.727864
1993,139.4766779,35.7311837
2025,139.773672,35.70714
2120,139.846029,35.76318
2144,139.706257,35.769684
2152,139.705989,35.752228
2153,139.704443,35.748966
2154,139.702037,35.745569
2156,139.7266,35.736589
2158,139.683565,35.739438
2192,139.826725,35.782556
2205,139.678777,35.764377
2206,139.67622,35.768404
2207,139.662211,35.768988
2208,139.6703,35.773652
2209,139.659742,35.773583
2210,139.655091,35.772223
2211,139.634266,35.778213
2215,139.67776,35.782517
2216,139.6813,35.778145
2228,139.847464,35.760996
2266,139.789649,35.793059
2270,139.760465,35.778416
2271,139.836331,35.754864
2273,139.770404,35.768591
2275,139.797394,35.771077
2276,139.774787,35.772098
2278,139.766967,35.76473
2286,139.829422,35.772042
2287,139.827653,35.761762
2327,139.706507,35.785329
2355,139.869478,35.663928
2356,139.876455,35.667276
2357,139.875986,35.664111
2358,139.871373,35.665114
2359,139.868811,35.656077
2360,139.875285,35.663278
2361,139.868794,35.652854
2362,139.644826,35.782983
2363,139.630211,35.779876
2364,139.653586,35.791125
2365,139.66635,35.783602
2425,139.641307,35.777252
2443,139.511437,35.664029
2444,139.459088,35.667669
2445,139.517298,35.655284
2446,139.463821,35.665371
2447,139.474735,35.688843
2449,139.531143,35.658394
2453,139.500935,35.689625
2494,139.49307,35.661703
2522,139.798475,35.745711
2533,139.481978,35.672427
2536,139.469953,35.730028
2539,139.801982,35.795838
2540,139.529306,35.679264
2579,139.87939,35.756943
2691,139.673321,35.782318
2692,139.865634,35.734614
2866,139.594455,35.72342
2938,139.615525,35.656532
2939,139.874989,35.717279
2940,139.648954,35.723647
2992,139.803667,35.773598
2993,139.71054,35.739387
2994,139.596902,35.650543
3062,139.679946,35.642828
3067,139.730479,35.584647
3080,139.496299,35.713699
3081,139.46796745062,35.711068690421
3091,139.781917,35.769901
3118,139.680541,35.749513
3119,139.733767,35.572889
3187,139.78902,35.795311
3200,139.781459,35.722
3202,139.838224,35.736479
3203,139.868585,35.750312
3257,139.596248,35.657094
3258,139.617673,35.655969
3259,139.613336,35.623953
3260,139.638706,35.623511
3261,139.643601,35.627071
3262,139.6438838,35.6374446
3263,139.668493,35.644157
3264,139.6565285,35.6065654
3265,139.6538977,35.6101698
3267,139.811336,35.775351
3268,139.879661,35.75142
3269,139.815832,35.77729
3270,139.815564,35.782809
3271,139.814161,35.779704
3290,139.56214,35.645946
3316,139.7570583,35.7522109
3317,139.760747,35.745724
3318,139.777029,35.726499
3319,139.782199,35.729801
3320,139.776412,35.733209
3321,139.784383,35.733254
3322,139.784103,35.736412
3323,139.780645,35.734836
3324,139.77125,35.729601
3325,139.78338,35.739634
3326,139.781534,35.742563
3327,139.790346,35.749753
3328,139.784876,35.743367
3329,139.794364,35.7383628
3330,139.795589,35.737094
3331,139.799467,35.732544
3332,139.808276,35.733747
3334,139.664277,35.723722
3335,139.6713487,35.7660841
3361,139.522192,35.734738
3362,139.468498,35.732748
3363,139.455792,35.734758
3364,139.483404,35.725957
3365,139.475762,35.722833
3366,139.470613,35.717049
3367,139.477904,35.729044
3368,139.467378,35.727519
3369,139.44819,35.729486
3376,139.434496,35.729808
3377,139.439003,35.725353
3378,139.494938,35.742137
3379,139.517906,35.734374
3380,139.518747,35.72241
3381,139.496785,35.727818
3382,139.50131,35.714084
3383,139.500867,35.72098
3389,139.6232623,35.6596965
3390,139.6689424,35.6916045
3391,139.6848482,35.6998047
3392,139.7328607,35.7441372
3404,139.801589,35.720888
3405,139.78342,35.706789
3415,139.696516,35.560052
3418,139.780772,35.804345
3419,139.84102,35.792081
3420,139.826147,35.775377
3421,139.76983,35.808528
3422,139.792046,35.762955
3423,139.865407,35.734585
3427,139.690835,35.792692
3429,139.706703,35.76551
3439,139.722344,35.705817
3476,139.807525,35.697672
3477,139.793757,35.715625
3479,139.637519,35.713426
3480,139.662778,35.697776
3485,139.544407,35.654924
3487,139.791622,35.703123
3491,139.830969,35.76354
3492,139.83861,35.794925
3493,139.819513,35.796913
3494,139.77942,35.784249
3495,139.765489,35.770029
3496,139.75767,35.759331
3497,139.705588,35.779269
3498,139.686811,35.750118
3500,139.6733432,35.6915286
3525,139.7122,35.751028
3526,139.795724,35.731178
3527,139.83187,35.751047
3528,139.863739,35.730993
3531,139.768873,35.732703
3533,139.801451,35.669897
3534,139.563908,35.647502
3535,139.733185,35.587148
3540,139.883702,35.733245
3542,139.912231,35.699215
3544,139.896234,35.705126
3545,139.8881506,35.6976009
3546,139.868158,35.695945
3547,139.869138,35.677442
3548,139.86193,35.670131
3549,139.857303,35.667197
3572,139.790864,35.707964
