id,dist
5620,679.7127578077257
5460,850.4511944924645
5403,2107.913079998019
5461,2219.4550813062283
8154,3158.8267282762704
6470,3294.2582246852276
5405,3619.838813923724
5823,3638.633104806304
5512,3736.308449196948
5404,3935.086308975508
2143,4059.193243142363
4310,4196.611232944118
4309,4326.484180349444
8153,4408.848321916194
2030,4417.71302034165
2141,4480.732438235521
2029,4682.649443744662
2142,4761.088832751993
2488,4966.272010096753
2817,5118.092715069804
5615,5506.546922385045
2658,5529.802333842811
4311,5673.9899695518925
5281,5703.016438905821
8155,5985.8903090476915
10156,6622.049385169868
8156,6891.802738654817
9246,7400.8634011194645
2487,7566.220674564603
9235,7975.222295124033
9513,8271.301783212377
9251,8387.80225699838
9264,8430.86561277577
5289,8598.014345157342
5288,8716.053719757783
9253,9174.436940674555
6654,9180.729140376625
9256,10325.33801002228
9467,10418.799194497
9258,10437.158376650506
6469,10459.71849639322
2820,10512.22774459449
3739,10521.395090890914
9839,10600.646647914526
9259,10890.400861385011
9254,11171.560529857117
9266,11336.899208182518
9242,11493.150945501997
6741,11669.724715219767
9241,11826.953206194416
9769,11836.902777191686
8040,12500.179487372463
9240,13159.596853311261
9255,13253.502678509916
9238,14736.439935983168
3088,14841.075302288873
9249,15474.334499638528
9262,15521.514564354928
