id,lon,lat
419,135.552813,34.6080201
826,135.458336,34.685333
885,135.442672,34.699718
886,135.465714,34.682474
1901,135.474296,34.715941
1903,135.4825999,34.7246613
1904,135.49943,34.724936
1907,135.496073,34.73724
1909,135.493796,34.7405959
1910,135.46849,34.7162453
1912,135.483372,34.7044555
1913,135.502041,34.707098
1919,135.5146518,34.6288786
1922,135.4857582,34.6011929
1995,135.501088,34.741921
1996,135.490757,34.722888
2004,135.521301,34.708573
2010,135.479214,34.616602
2031,135.531126,34.719979
2036,135.561834,34.688653
2039,135.522366,34.650178
2043,135.497561,34.741814
2044,135.54851,34.620975
2046,135.498769,34.660221
2047,135.494209,34.667196
2049,135.479502,34.663281
2050,135.459436,34.66711
2051,135.452685,34.664931
2052,135.477485,34.672854
2055,135.495803,34.672346
2096,135.48423,34.734815
2097,135.520244,34.747044
2099,135.532912,34.752319
2102,135.495995,34.707221
2110,135.497948,34.633954
2232,135.536587,34.710003
2346,135.526902,34.722764
2497,135.507426,34.682803
2498,135.499001,34.676594
2502,135.511733,34.607881
2523,135.437014,34.706848
2637,135.559729,34.707113
2649,135.525556,34.666207
2830,135.427027,34.828971
2831,135.429514,34.827021
2832,135.435727,34.823829
2833,135.428292,34.82116
2834,135.428348,34.81978
2835,135.440259,34.808816
2837,135.426022,34.830365
2838,135.445108,34.809586
2839,135.445956,34.815332
2899,135.514718,34.671933
3082,135.4619,34.712574
3083,135.528345,34.609451
3120,135.445187,34.806882
3121,135.4335029,34.814074
3197,135.586477,34.663908
3198,135.620613,34.671336
3279,135.618279,34.662354
3417,135.506835,34.666667
3481,135.559739,34.693343
3482,135.43777942657,34.65209937855
3483,135.456434,34.715588
3503,135.546262,34.691323
3520,135.478023,34.566528
3521,135.515591,34.575355
3522,135.493429,34.562207
3599,135.4604375,34.6698125
3712,135.465313,34.778904
3713,135.464866,34.778939
3714,135.468118,34.771729
3715,135.467497,34.771816
3716,135.475178,34.763948
3717,135.475246,34.749447
3718,135.49503,34.775232
3720,135.49566954374,34.775208650217
3721,135.483048,34.776337
3722,135.490874,34.775192
3723,135.488592,34.772262
3724,135.48769,34.775393
3725,135.449139,34.782249
3726,135.444549,34.769503
3727,135.469791,34.770129
3728,135.467678,34.763157
3729,135.465796,34.759692
3730,135.474326,34.741857
3731,135.45047,34.761424
3733,135.46842,34.74438
3734,135.461855,34.735072
3735,135.470423,34.735178
3736,135.477969,34.740019
3737,135.455668,34.778069
3738,135.469123,34.781593
3780,135.529684,34.818259
3781,135.522865,34.855465
3821,135.461232,34.67101
3881,135.451957,34.769411
3970,135.476374,34.760896
4146,135.45869797468,34.685348139378
4238,135.494942,34.807491
4239,135.539581,34.81063
4284,135.479228,34.591206
4285,135.481515,34.575792
