id,dist
6466,1523.8614453312912
4338,3341.9307297224414
7825,3351.5646451499642
9538,3804.1309461898936
10418,3849.065317480817
9560,3927.1799144955276
2637,3988.5726313082455
7824,4054.78095080823
7821,4060.5440842357316
10178,4249.721689260629
7823,4339.502309844247
7828,4576.985314402064
7822,4649.7638822261715
7820,4685.955240893329
9870,4728.288036807624
7819,4762.18485137747
2099,4810.276609356671
9569,4872.87911187477
4337,5060.1349709836695
2031,5096.4623015559255
7818,5128.533231216724
7611,5200.995632561154
2232,5208.5490389221795
5579,5230.532568658358
2346,5350.769076419509
3481,5351.7276803085615
10179,5353.456986912436
7829,5383.743580487329
7813,5540.2037228498275
10432,5541.409908202302
5587,5577.788538856455
7826,5582.339547575018
7812,5620.275783364078
7814,5708.054925848479
5586,5763.1853475043745
2036,5769.222855815336
2097,5784.49678769027
7817,5784.736976639542
5836,5932.836514903765
6467,5939.881877192588
5581,6009.652523947087
7811,6071.8387500345925
3503,6128.144240732722
5912,6157.420504866019
9869,6163.342029776339
5576,6215.506994072439
9743,6239.599217084255
7987,6392.711859734784
8037,6414.998450727345
7827,6440.781918454393
2004,6468.908379862155
5582,6509.371939174594
5697,6528.806720075712
10446,6566.196478580594
5589,6621.036148301737
10417,6647.175870564476
5698,6750.654993761329
7810,6782.0721770937125
6742,6861.31041097127
9868,6941.664346689482
5583,6982.6387908682045
9484,7053.182120273199
9871,7121.928009476363
5824,7278.647819804581
9483,7291.305292798381
5575,7293.7565115272455
5825,7410.894186609132
1995,7461.347276485121
1904,7732.866417833427
9568,7768.755830076092
2043,7783.073183177725
9853,7805.403065335222
9567,7823.562431172281
9545,7833.924514150368
6897,7864.02931050695
1907,7907.079087680743
5578,7950.21807638251
9744,7973.198535590242
5822,7985.030606058062
9866,8030.312641874218
1913,8111.526066328595
5577,8119.826152827055
1909,8121.1014206121945
3198,8162.023768308964
9544,8171.152459902779
3197,8206.094391745717
5911,8242.665369208267
6748,8294.16921099054
8049,8315.522050257281
1996,8555.921585448546
2102,8611.86330272341
9864,8622.211794883242
5585,8630.205019295208
9485,8702.141339073401
5111,8714.416222952243
9547,8773.821741721402
6476,8899.906520117502
6493,8943.166777829078
3720,8960.665016862933
4239,8980.162947162722
3279,8991.996407297649
10433,8997.094017797257
2096,8997.64102222375
6586,8998.824674953277
3718,9013.796026321372
6495,9022.437930796275
9817,9099.954252340896
4471,9121.401589778901
4477,9163.725680601512
6745,9163.940490977257
2497,9187.882329520045
6747,9227.262206542933
1903,9256.910585065601
9478,9263.700866961703
5588,9274.689564349857
7802,9321.01680618798
3722,9351.210134111534
3723,9402.279268127337
9479,9416.315468405222
10419,9422.750705296117
2649,9498.370601530109
9570,9536.363498272241
3736,9567.769136909334
5573,9583.791563623183
2899,9584.366259583938
7548,9590.118674874953
3724,9622.987020140095
4483,9734.719189292311
6746,9771.079549816619
9851,9774.830080553715
9818,9782.186950744737
7674,9787.96790552645
1912,9797.10549808367
5574,9818.986911661557
4465,9856.39054927387
4469,9877.144939520249
4475,9885.507382056565
3717,9898.05867509764
6965,9899.18583852592
6494,9903.15283234371
6749,9905.55161909505
3730,9908.326570897247
4463,9976.127495077846
9494,10025.615975013674
3970,10041.720135665191
3721,10051.755210938758
6475,10078.558968764595
4470,10103.651441943863
9482,10123.77145247443
5287,10142.140787603073
4481,10142.3523197276
3780,10146.79477153344
1901,10195.103838702076
2498,10222.558011495448
3716,10238.190447272767
3735,10260.089155673453
10434,10300.670481475718
9541,10323.691843436898
10435,10397.515910220685
6473,10399.992974002813
9497,10457.833491056965
3733,10464.270399783176
10445,10464.685538334177
7178,10493.266434514022
3417,10498.641688600119
7183,10599.715337702564
4480,10642.737792911512
1910,10704.747194935722
7809,10706.142051064122
6472,10740.854485686938
5432,10743.65532672427
10442,10754.033075504565
2055,10755.893318220886
6474,10767.954804893236
7182,10788.304996168043
5590,10835.71588484669
9495,10870.63397827792
3728,10875.550255449238
9496,10889.974513166977
3727,10917.414539994972
6964,10925.459631322827
4462,10933.726645942339
3729,10950.719545930822
9480,10979.238039250178
9477,11023.122402390092
3734,11044.774969408498
9498,11072.153639297576
4464,11102.709027969622
7805,11115.527238895651
3714,11120.922766770902
7289,11127.00523801555
4238,11130.06319515245
7179,11143.03239985197
2039,11169.758533332299
9543,11170.102796017647
3715,11177.692090313449
9475,11217.20274921385
5572,11243.955009442512
4468,11245.143174595029
2047,11254.142567791345
7177,11280.550799163566
7693,11292.642296980328
6477,11306.045925658236
4467,11372.513417700646
3082,11387.316809124362
6744,11396.937424597578
6675,11434.2942815576
3738,11453.333571823394
7181,11505.39754318779
2046,11524.041953891287
7263,11534.977460168286
7180,11536.865021276775
4473,11632.909325453898
3712,11650.365776521317
7173,11654.165517165751
9867,11675.994248751083
6743,11676.184949744382
3713,11689.550965524015
10415,11699.604621817265
3483,11798.691773912093
7836,11922.309703593248
4476,12006.331857114517
2052,12013.389811876861
5584,12054.86321325018
7986,12067.097677046426
4472,12076.469273361037
9852,12082.08012509503
886,12327.37564747317
3731,12362.232568177944
7165,12388.124605959889
7171,12401.988739426422
7789,12418.824836096725
3737,12434.254226920786
3881,12448.623221460099
4478,12484.403742238217
2049,12539.721905049979
9481,12697.030909925792
4146,12739.808836639782
826,12770.082385981264
7151,12773.457480436513
7835,12857.441750596405
10447,12894.035071077655
7174,13016.13263489164
7648,13074.064803249546
3726,13103.566192444043
3725,13160.226040287807
7170,13185.541874892278
6468,13212.568876205598
7168,13225.824276065308
2044,13327.564706662817
7169,13328.327235481009
3821,13347.591571582634
10139,13448.453433581055
885,13479.399651488844
4306,13479.523980189007
3599,13482.129743102887
9819,13502.961817464591
1919,13585.676951883395
4305,13633.39323827513
7166,13660.941205106095
7451,13667.46932554526
2050,13727.471350911657
2523,13753.445490435963
7120,13765.48077186783
7450,13797.799129661229
7452,13799.776943584002
10416,13819.781284796334
7176,13873.811093747394
2110,13879.116078318997
7167,13898.002263707645
9820,13923.645542666025
10180,14020.933909514057
3781,14144.802882837977
9476,14181.507229890596
10448,14202.92800437952
7175,14246.099368379992
2051,14374.170540821799
7453,14398.687926662054
4365,14411.863148861848
6060,14649.553604964774
419,14650.842717736337
3120,14714.637868064292
5883,14739.377024316946
9830,14811.410666095022
2838,14879.002172021976
3083,15076.360986717968
2839,15165.33048135976
2835,15211.438804140262
5035,15221.060055660962
5711,15347.48038213988
7621,15680.161771540903
5876,15800.507335648672
2502,15801.705649805466
5882,15914.414756537188
4366,15917.877235384034
3121,16043.205360188655
5879,16236.73136469349
3482,16309.882266903347
5877,16376.778460555524
2010,16438.600732316838
2832,16472.370702130545
5873,16616.527138222453
10431,16736.32204258398
5874,16740.51401506585
7622,16753.82880491608
2834,16780.03374894969
2833,16867.68399504183
5878,16927.388786871586
5926,16951.38584660006
2831,17140.874331996147
6483,17178.131152884074
5881,17289.027215724233
9438,17290.122328852784
7278,17446.160716447845
2830,17451.558810510327
6489,17539.26576741013
1922,17554.10203840082
2837,17616.197791583283
9843,17762.65671123952
9842,17781.222203202527
6487,18018.437637856616
7459,18046.958155290187
9437,18070.686224622204
6484,18088.39543835721
6480,18123.49762496244
6481,18147.190348425604
6482,18250.35272688518
9516,18299.15646022842
7479,18337.954966265836
6485,18383.4511235742
4286,18451.360346607275
4951,18482.674111405693
6486,18493.581989852486
7804,18503.121750321505
4300,18546.343667639958
4950,18556.071447358838
6488,18788.52737292046
4284,18812.934952506846
3521,19033.698813426858
4296,19100.022002498936
4295,19227.501598359628
5315,19336.627820635982
7116,19389.598246076654
4288,19600.81290032327
4299,19908.031052562965
7475,19922.10430542944
7477,19957.568458225094
7474,19972.16323315639
7476,20003.652080658932
4301,20004.147086126344
4318,20010.55671553055
7478,20133.403220170756
7473,20210.77644385931
4285,20212.891447569164
4297,20224.72299966803
5803,20327.865489900403
7114,20456.892479469203
4293,20650.338138870215
4289,20840.82762885647
5314,20869.36790406472
6764,20959.677583777026
4290,21101.832390601776
5804,21110.97421641958
3522,21118.802888607497
4952,21120.466807230157
4291,21147.497633015664
6765,21155.493487277374
3520,21274.195202144998
7119,21440.35622858987
4949,21466.367467960717
4298,21476.567730979034
7115,21552.457185091476
6763,21651.773691995084
9840,21659.99932297027
4948,21739.591104320814
6509,21749.452044757712
7471,21765.719435527153
4292,21767.403967983802
4953,21816.96705664252
4294,21871.369862943913
7472,21952.53885667347
6762,22135.570414409125
6761,22140.03802790082
6760,22163.367702910364
7105,22277.5437352361
8003,22434.786475322515
6767,22528.813908293403
9841,22554.81014217837
4947,22692.77700577564
4946,22786.94905338985
5812,22951.548277824553
7108,22988.584589860584
6766,23001.09740992341
5814,23026.246559773448
5813,23033.890261565957
7107,23259.49668730639
5811,24021.80906600557
7803,24023.467836941814
7117,24096.705831596948
7118,24248.23155937388
7111,24412.727471205668
7106,24481.202578435255
7109,25488.90900434928
7110,25655.56091302061
5186,26776.327088195016
5805,26921.113346987782
5809,27054.1113260008
5207,27317.774768661595
5195,27329.896223228687
5187,27437.84261381353
5188,27481.313025818858
5196,27504.342897382343
5504,27550.300553315927
5194,27681.9475739801
5806,27723.23695420877
5193,27766.042751831952
5810,27999.49722535564
5808,28150.34677333678
5190,28311.38078096837
5191,28317.17499016013
5807,28364.422963898745
5189,28534.826625829715
5192,28832.41388032172
7112,29167.798456247277
7113,29233.439390764765
