x,y,rot,dist,total_dist
-241.0010607073485,289.6157760068789,184.57744949787633,4.496557361700486,4.496557361700486
-245.48327569674063,289.25692102790924,234.4669045293371,1.8669918769621716,6.3635492386626575
-246.5683211763803,287.73760046405306,177.4114618197037,2.7730192858231533,9.13656852448581
-249.338510941287,287.86283874076275,265.01480878185066,1.3962014956334832,10.532770020119294
-249.45983842377117,286.47191880834276,139.93077423578873,2.614054657709801,13.146824677829095
-251.46028886113973,288.1546189602196,190.66093970153528,12.254917672288272,25.401742350117367
-263.503676150087,285.8874996949434,247.42596329710773,2.5464455748881045,27.94818792500547
-264.48119787279154,283.5361519223866,158.8930565348014,27.548984810246058,55.497172735251525
-290.1819185725693,293.4568131698631,169.15017066750227,17.625306552997138,73.12247928824866
-307.4921536718104,296.7745220021939,248.21076309598175,0.7290691687412973,73.85154845698995
-307.762779343832,296.09754076282906,173.47864643659676,2.4562462787393433,76.30779473572929
-310.20313271920855,296.37650525001175,165.83618705979006,12.419485524946406,88.7272802606757
-322.24506698441724,299.415491899661,195.54357930360527,9.439338086922367,98.16661834759806
-331.3391793322039,296.88602078398145,215.82341674521484,7.281921883760471,105.44854023135854
-337.2435413094802,292.6239912249,197.98052579398484,7.0530721325514225,112.50161236390996
-343.9521519281827,290.4467521306328,225.77054985238195,2.046634058719459,114.54824642262942
-345.37974775509736,288.98023205736877,177.76013143151883,2.988610456122055,117.53685687875148
-348.3660748016784,289.0970362923119,209.05113443510402,4.373515169950974,121.91037204870246
-352.18934352388993,286.97330108764294,190.14381169993442,8.331090980448607,130.24146302915108
-360.3902095260462,285.50603364808404,215.19558358064955,10.51997949340196,140.76144252255304
-368.98702449800015,279.44264013623064,251.44071586905886,17.12275625290147,157.8841987754545
-374.43695329983956,263.2103557082409,231.26460121803672,5.655585095450531,163.53978387090504
-377.97579262447016,258.79875067080496,218.13965679809854,6.952830158624781,170.49261402952982
-383.4442474790198,254.50481905532308,190.41818301447415,4.428814775578247,174.92142880510806
-387.8000494028318,253.70395082839946,228.8858885595108,6.819741043354272,181.74116984846233
-392.284443927832,248.56594794376042,155.17447117502368,0.8833343374176569,182.62450418588
-393.08614977770515,248.93682161759057,236.74078317808767,3.952294837550569,186.57679902343057
-395.2536979454417,245.6319207985839,186.9269436817361,4.656420215881199,191.23321923931178
-399.87612972598345,245.07033940545864,226.22973824789253,4.1032253182633855,195.33644455757516
-402.71461160677615,242.10732090655432,293.27568370381573,0.8034445782442026,196.13988913581937
-402.3971259190563,241.36926533384786,216.2354805942089,16.20476747934004,212.3446566151594
-415.4678009938942,231.79054192477668,235.56434585582,3.2601024623980535,215.60475907755747
-417.3113248670659,229.1017340487134,217.29686069167678,4.98873382662465,220.5934929041821
-421.279895963523,226.07883665626457,212.07677821766828,11.057534192429905,231.651027096612
-430.6493563105029,220.20667562108105,143.2911903521421,0.9714812484435801,232.6225083450556
-431.42817703643925,220.78737700124947,228.39340670738403,8.359655806131007,240.9821641511866
-436.97909098836885,214.53668108037368,256.6528415473349,10.017243825252532,250.99940797643913
-439.2915782744163,204.79001106408458,214.0807187363588,5.92306381035888,256.922471786798
-444.19734968471437,201.47096123446693,238.4491081949663,3.349624081750858,260.27209586854883
-445.95005957399803,198.6164928893889,214.47219487165796,3.327198403909321,263.59929427245817
-448.6930051437311,196.73327786702464,276.60426216914937,1.9108585527824509,265.5101528252406
-448.47323530268926,194.8350993649574,211.66245049283316,2.4177078759607418,267.9278607012013
-450.5310801778722,193.56601077736156,261.22164703687156,4.393943022419867,272.3218037236212
-451.20165063499365,189.2235379166164,232.75173109917324,2.654486705322515,274.97629042894374
-452.8083316381623,187.11051263924963,196.2525293048907,2.4590709470058143,277.4353613759496
-455.16913196363646,186.42228902322847,223.5831311441087,6.210267250800444,283.64562862675
-459.66769347013064,182.14089162300348,195.98784489305996,2.5385438719567763,286.1841724987068
-462.1080468455072,181.4416917995356,238.22487108015693,3.457433173986964,289.64160567269374
-463.9286855947421,178.50245402464054,191.09155228608486,1.9885550281859372,291.6301607008797
-465.88009648080424,178.11990121275477,230.6452789174466,3.8220603996662077,295.4522211005459
-468.30374008313373,175.16455057576025,202.1379453234091,3.3271427667103737,298.7793638672563
-471.38560344078473,173.91075743698445,220.70238366163233,9.686732867815195,308.46609673507146
-241.0010607073485,289.6157760068789,184.57744949787633,4.496557361700486,4.496557361700486
-245.48327569674063,289.25692102790924,234.4669045293371,1.8669918769621716,6.3635492386626575
-246.5683211763803,287.73760046405306,177.4114618197037,2.7730192858231533,9.13656852448581
-249.338510941287,287.86283874076275,265.01480878185066,1.3962014956334832,10.532770020119294
-249.45983842377117,286.47191880834276,139.93077423578873,2.614054657709801,13.146824677829095
-251.46028886113973,288.1546189602196,190.66093970153528,12.254917672288272,25.401742350117367
-263.503676150087,285.8874996949434,247.42596329710773,2.5464455748881045,27.94818792500547
-264.48119787279154,283.5361519223866,158.8930565348014,27.548984810246058,55.497172735251525
-290.1819185725693,293.4568131698631,169.15017066750227,17.625306552997138,73.12247928824866
-307.4921536718104,296.7745220021939,248.21076309598175,0.7290691687412973,73.85154845698995
-307.762779343832,296.09754076282906,173.47864643659676,2.4562462787393433,76.30779473572929
-310.20313271920855,296.37650525001175,165.83618705979006,12.419485524946406,88.7272802606757
-322.24506698441724,299.415491899661,195.54357930360527,9.439338086922367,98.16661834759806
-331.3391793322039,296.88602078398145,215.82341674521484,7.281921883760471,105.44854023135854
-337.2435413094802,292.6239912249,197.98052579398484,7.0530721325514225,112.50161236390996
