id,dist
4944,325.65128835097346
2388,420.09027044336995
2389,506.3698294244057
2394,560.5205745270824
2395,597.5377821198512
2398,764.5964980693863
2529,871.2877276352548
8024,903.5151797747152
2401,931.9439976601001
5550,989.2307943536431
2825,1101.4107192596584
2404,1133.4711594292255
2400,1177.0584066919273
2402,1229.519494087501
2405,1251.7645536732741
2824,1262.6275899676568
2397,1286.9879260094285
2826,1343.2263999067925
5592,1524.2849822188425
2829,1561.7369317042892
2828,1729.6914113043567
1552,1738.2339540846174
2407,1746.0790549630601
5568,1798.284022944285
5591,2161.4188018847694
2827,2267.0891116394405
4413,2719.6327896070798
2901,4407.641505499215
2919,4788.121419481854
5152,4827.998065484605
2896,5035.301899240615
4041,5041.2273358218445
5151,5094.32654941535
2897,5449.919437233811
7268,5658.879688692611
4412,6062.975972956781
2900,6416.422588199504
2898,6590.91696291309
7359,8667.16952876384
7367,8952.569315893916
7362,8958.935749220203
7358,10087.111222494821
4149,10228.104038188863
7360,10253.315284649101
8016,10545.939000361544
7361,10596.715507881241
7366,10650.503642500158
7365,11034.060297118564
7364,12844.784737538672
8017,13588.918536335244
7363,14655.931281136787
8128,16539.018970875324
8129,17181.87825967431
4838,37426.6454478011
4839,37435.60113711466
4880,37943.37617960761
8025,39521.48482401885
4841,39730.236834534975
4878,39741.8262937836
4966,39779.63053341425
4842,39931.205947795075
4879,39953.71534462053
6800,39960.57183236422
6869,39987.57001195895
9934,40171.7238845518
5209,40209.61632717832
6796,40262.23418228659
6805,40388.04547474298
4892,40589.07498945734
9751,40593.240385587116
6804,40901.04379961139
6797,40906.09567642802
9753,41082.120310522005
5513,41138.94438403864
6996,41158.22049970646
5116,41164.43478409588
5359,41219.88840882879
7049,41493.93172481571
7643,41716.45785627179
6801,41903.677412029276
5360,41922.00672172428
7279,42045.52692948575
6868,42123.01390851276
5452,42128.98801689193
5511,42158.81647495891
9935,42672.30264848585
5400,42837.830083521825
6798,43437.75995591464
4877,43530.482962893984
6770,43584.83862305414
4315,43940.99859637728
5220,44284.927797324635
5208,44431.3251572745
6734,44462.12718383133
5206,44651.72869256936
5205,44684.477668610474
5221,44994.326499030125
5566,45009.79228973551
4875,45158.81518765615
5567,45502.230056759836
5643,45589.79648961043
5283,45614.011818204155
9460,45771.99292959946
9752,45799.66940856167
6782,45967.27270477131
6799,46194.3325178101
6768,46206.3672244414
5285,46244.23340214359
6781,46294.188204885715
6872,46436.36401806702
5286,46456.32043933292
9896,46502.94423110164
8020,46824.87949408123
4869,46859.090827964406
6508,46891.77616079475
6701,46988.268021681826
4856,46991.714274530226
4855,47089.81799727762
7370,47095.05491928961
8019,47191.56625543751
7407,47386.40263030909
9503,47427.15649626551
9913,47437.74336777231
6780,47442.50275988989
5222,47469.89658343117
4968,47590.728751248396
7142,47640.6209315533
4871,47711.772947339385
4317,47719.663354187745
4967,47724.97861279389
6995,47755.79497187484
6808,47774.57503041054
5329,47849.491354117534
6737,48047.514196597476
7454,48052.22534473912
5202,48152.946735646656
6802,48254.32860663341
4872,48280.15605280831
7141,48426.992511383636
7250,48439.581440911155
5204,48669.67689027371
7249,48711.81653326368
7408,48748.68570481366
4867,48801.26146711124
5328,48853.38461530249
5223,48868.82365833999
6735,49097.508355881655
7642,49308.42640188895
4847,49315.36975323383
4943,49387.20026163196
7047,49397.546651177596
4848,49408.58427534145
4846,49416.52061191199
9504,49425.67215368086
7384,49507.35548773164
5713,49587.948574513604
4868,49678.50037102612
6870,49701.04234773706
7409,49751.2022873073
4843,49757.937182654205
5282,49797.170809126284
5361,49876.398241608316
4939,49878.75260913645
5907,50022.48209369574
5032,50106.45355108243
9505,50139.131821471805
9754,50142.636267262875
6806,50205.51316188143
6693,50266.60428770031
5203,50287.67689574012
6736,50389.40136337765
6700,50400.21544118813
4857,50426.47038100758
9740,50476.73911440654
4865,50516.68863184382
7227,50526.799277967475
5232,50529.41783535832
5231,50579.602095468304
4851,50606.91703880191
4845,50637.38910076205
5033,50791.26276155914
7043,50797.506728400745
5358,50856.13416523966
4893,50916.60603727844
5210,50922.06761683214
5230,50928.216759721996
9895,50969.79294673551
4965,51002.76360302749
5224,51027.86401942652
4885,51029.20859355349
7413,51106.75944873334
6479,51124.838765501074
4854,51139.01101634308
5034,51163.886152999126
5908,51202.31242675519
9502,51232.6764712391
6836,51486.112439768694
6807,51496.380338318995
7644,51496.49494361838
4316,51521.61343643168
6779,51606.53476461852
4849,51608.00899079042
6838,51661.19464220293
4853,51671.1360582433
4870,51879.851803755846
6835,51892.39076979591
4850,51972.18221059715
7414,52166.019660839826
6837,52205.37924499478
6699,52206.507754001024
4852,52234.101330982376
6939,52281.00409611693
6895,52645.37227726181
6940,52709.55115184238
6873,52728.85477117584
6935,52779.397912124165
6934,52806.36228643373
7248,53094.46925200453
6936,53312.29073629073
7009,53435.075426120624
6938,53529.83180277552
6962,53565.23030446507
6937,53565.84055307713
6959,53663.9360942297
7020,53700.18323991575
6905,53719.298471444
6941,53805.72235505723
6883,54140.845971913324
6997,54439.193627166285
6923,54503.209504076964
6882,54772.522627808605
6585,55439.37580239899
6584,55742.81207371099
5021,61464.1450129508
6795,61999.48782660203
691,65410.756470804445
3090,65872.40744610078
690,65885.4804566709
3066,65898.40851063786
1926,66077.75758241267
1782,66567.20342177535
5084,66659.38936465188
3089,66864.3916066103
3064,66993.99758543306
689,67117.49719730797
890,67149.99839154356
1781,67190.96388616275
889,67244.33534164824
2162,67273.98016613814
1780,67320.84338484943
7761,67506.80546141005
1783,68364.27536224201
