id,weight
689,1.2
690,1.14
691,0.99
889,1.22
890,1.22
1552,1.8
1780,0.6
1781,1.21
1782,1.19
1783,0.95
1926,0.88
2162,1.18
2388,2.16
2389,2.13
2394,2.16
2395,2.16
2397,2.02
2398,2.16
2400,2.08
2401,2.14
2402,2.06
2404,2.03
2405,2.04
2407,1.87
2529,2.14
2824,2.02
2825,2.05
2826,1.94
2827,1.57
2828,1.78
2829,1.83
2896,0.84
2897,0.76
2898,0.37
2900,0.56
2901,0.96
2919,0.85
3064,1.12
3066,1.11
3089,1.25
3090,1.12
3471,2.19
4041,0.82
4149,0.16
4315,3.69
4316,5.75
4317,4.31
4412,0.34
4413,1.31
4838,1.07
4839,1.06
4841,2.23
4842,2.36
4843,6.88
4845,6.65
4846,5.64
4847,5.01
4848,6.76
4849,6.13
4850,5.15
4851,6.5
4852,5.11
4853,5.92
4854,6.54
4855,5.45
4856,4.5
4857,6.97
4865,6.86
4867,5.4
4868,3.03
4869,4.92
4870,4.33
4871,2.05
4872,6.13
4875,4.04
4877,3.54
4878,2.31
4879,2.48
4880,0.61
4885,6.52
4892,2.65
4893,6.74
4939,6.11
4943,4.2
4944,2.21
4965,6.69
4966,2.22
4967,6.2
4968,6.07
5021,0.09
5032,6.93
5033,6.8
5034,4.68
5084,1.26
5116,2.59
5151,0.79
5152,0.85
5202,6.39
5203,6.37
5204,6.6
5205,3.8
5206,3.76
5208,3.82
5209,2.6
5210,5.95
5220,3.71
5221,3.93
5222,5.93
5223,5.92
5224,5.67
5230,5.52
5231,4.77
5232,5.97
5282,6.66
5283,3.73
5285,3.34
5286,3.85
5328,3.73
5329,5.53
5358,6.36
5359,2.69
5360,2.9
5361,6.61
5400,3.25
5452,3.02
5511,2.9
5513,2.93
5550,2.05
5566,3.78
5567,3.32
5568,1.78
5591,1.58
5592,1.83
5643,4.21
5713,5.68
5907,5.46
5908,6.4
6479,6.37
6508,5.32
6584,1.29
6585,1.64
6693,6.9
6699,4.51
6700,6.62
6701,4.59
6734,3.85
6735,4.23
6736,4.15
6737,6.29
6768,4.24
6770,3.54
6779,5.09
6780,5.9
6781,4.7
6782,3.81
6795,0.13
6796,2.63
6797,2.76
6798,3.33
6799,4.62
6800,2.41
6801,3.08
6802,6.44
6804,2.15
6805,2.27
6806,6.87
6807,6.02
6808,5.53
6835,5.79
6836,5.77
6837,4.96
6838,5.41
6868,2.58
6869,2.51
6870,4.02
6872,4.48
6873,4.53
6882,1.26
6883,1.38
6895,4.79
6905,3.54
6923,2.64
6934,4.34
6935,4.04
6936,3.76
6937,3.12
6938,2.67
6939,3.18
6940,3.26
6941,2.35
6959,3.19
6962,3.35
6995,6.14
6996,1.51
6997,2.76
7009,3.89
7020,1.9
7043,6.74
7047,6.39
7049,2.82
7141,6.61
7142,6.0
7227,6.77
7248,3.54
7249,6.29
7250,5.51
7268,0.32
7279,3.17
7358,0.71
7359,0.57
7360,0.74
7361,0.71
7362,0.64
7363,0.34
7364,0.55
7365,0.65
7366,0.54
7367,0.46
7370,3.71
7384,4.99
7407,5.25
7408,5.66
7409,5.51
7413,6.54
7414,5.48
7454,6.34
7642,6.83
7643,1.52
7644,5.29
7761,1.12
8016,0.76
8017,0.48
8019,4.28
8020,5.36
8024,2.14
8025,1.82
8128,0.2
8129,0.14
9460,2.62
9502,6.45
9503,3.65
9504,3.37
9505,6.89
9740,6.75
9751,2.77
9752,3.86
9753,2.88
9754,6.95
9895,2.49
9896,4.77
9913,3.13
9934,1.69
9935,3.18
