id,name
7407,しずてつストア　流通通り店（静岡銀行　沓谷支店）
7408,しずてつストア　千代田店
7409,しずてつストア　安東店
7413,しずてつストア　宮本町店
7414,しずてつストア　田町店
7454,静岡ダイハツ販売　東静岡店　カーステーション前
7642,リコージャパン株式会社　静岡支社
7643,清水日本平運動公園
7644,厚生苑　在宅介護支援センター　さくらの郷
7761,藤枝市保健センター
8016,伊豆長岡温泉京急ホテル
8017,トヨタユナイテッド静岡　伊豆の国店
8019,上土整形外科 スポーツクリニック
8020,オンザウォール
8024,Cross Mishima
8025,清水住宅公園
8128,修善寺駅北口
8129,独鈷の湯公園
9460,西奈図書館
9502,LiveCasa葵吉野町
9503,定食屋まるやま
9504,かつ政　高松店
9505,NPC24H静岡南町第4パーキング
9740,静岡市歴史博物館
9751,スポーツショップアラジン　清水店
9752,天神屋　瀬名川店
9753,片山衣料
9754,ホテルアソシア静岡
9895,菖蒲公園
9896,西峯田緑地
9913,From TEN
9934,秋葉山公園
9935,清水狐ヶ崎自転車等駐車場
