x,y,z,name,dist
76.26927847192341,61.16854662116095,12.38,千葉三越跡地前,0
76.31214172383036,61.04335504762254,12.37,JR千葉駅東口駅前大通り③,35.85596176757788
76.65218352798365,61.22712759267485,12.23,東京電力パワーグリッド（株）　千葉総支社　本部,105.36958393509616
75.97443125427365,60.65278375936874,12.47,JR千葉駅東口駅前大通り①,161.0799067093556
75.82575871619113,61.78265843829041,12.36,京成パーク千葉中央立体,205.4838386730916
75.57883707701603,60.63987934228939,12.5,JR千葉駅東口駅前大通り②,236.18194288333208
75.26637163072289,61.07391560018216,12.49,そごう千葉店（JUNNU館）,274.0384299001193
77.00987686556786,62.08247977909019,12.08,葭川公園②,319.1662462815942
76.3874105267093,59.949792870960565,12.23,JR千葉駅<東口>第5駐輪場,331.64243232534403
77.04551298020081,62.17587895326874,12.04,葭川公園①,345.0094009469861
74.98061661802251,60.88793002651039,12.59,そごう千葉(センシティ),358.7186516972125
75.62473106389666,59.91619968877787,12.6,ファミリーマート　千葉弁天二丁目店,381.82238697772783
76.67916039981982,59.80558774782007,12.15,ファミリーマート　千葉栄町南通り店,385.6102388397091
75.82589193531282,62.54988262864463,12.22,新宿公園,393.0941934421469
77.5483818539537,62.02967635609916,11.98,千葉銀座商店街,418.9123392170594
74.83171094648412,60.01615978822039,12.61,千葉駅北口駅前広場,500.3536533277304
74.74338666983024,59.97642158852607,12.58,JR千葉駅北口駅前広場①,525.8881742671975
78.34866241342777,60.94913332530579,11.62,通町公園,568.8007678956717
74.24401479798168,61.72203020718762,12.48,新町公園,571.0003618591757
74.24191659684097,60.46925379332964,12.57,JR千葉駅西口駅前広場②,583.1444428758784
74.80123707275308,62.786653833447936,12.17,新宿公民館,592.942186669077
74.25317361248717,60.12234657662094,12.56,JR千葉駅西口駅前広場①,617.3344151231162
78.50642715645021,61.83427427655047,11.58,千葉市美術館,634.7626446168629
76.34111688246361,58.76376881353619,12.2,千葉公園（南門側）,651.58053556058
75.86052890654723,63.59281009251436,11.87,上中公園,665.962490893591
76.59822978433026,63.6520421330453,11.74,結城野ポンプ場,678.5832814977274
78.16488663718965,62.82229225768925,11.58,吾妻公園,683.066116739272
77.4811395030695,58.88585548250165,11.8,JR東千葉駅第1駐輪場,700.6310829652687
74.14799711714204,59.62123368306925,12.61,JR千葉駅北口第2駐輪場1階,713.1832636503667
74.14100311333337,59.58886919573895,12.61,JR千葉駅北口第2駐輪場3階,719.8977754619458
73.98846722076894,62.63344913160324,12.15,新砂公園,736.5074382049787
74.24018474827783,59.35432812701215,12.62,ファミリーマート　千葉駅北口店,739.0004895292154
77.61335947980692,58.62898132485572,11.76,東千葉駅第2自転車駐車場（西側）,778.9401082440532
78.35205950098846,59.16169593614516,11.55,ファミリーマート　千葉祐光一丁目店,785.1405474289842
73.330065024256,61.63108764999265,12.46,登戸１丁目公園,809.3634405982885
77.5813868909686,58.43642680818231,11.74,コスモ椿森,821.5317972257046
77.58005469977057,64.0220965947761,11.41,都川公園,851.1920639736181
73.49255904604664,62.66007566850352,12.1,新浜公園,856.6491662962436
74.96296508460107,58.24510024220031,12.41,中央図書館・生涯学習センター,867.8448605422635
72.94136493646343,61.16322107314585,12.41,ローソン　千葉登戸2丁目店,905.349490599248
79.14837679162753,62.92961693347543,11.2,本町公園,917.0737726352074
73.06392652698662,62.6805576054209,12.09,千葉中央コミュニティセンター,963.399356871182
76.59623149753318,57.519933736033806,11.85,セブンイレブン　千葉公園駅前店,992.1322005519386
74.27767091014152,58.09521952839133,12.54,千葉県しんきん健康保険組合,993.1392311398648
73.94583710232733,64.02496394757213,11.67,千葉ポートアリーナ,999.0624732846508
72.77817151428624,62.63426840980711,12.07,千葉市役所本庁舎,1029.394258820698
77.56173707075008,64.77538250787616,11.13,ファミリーマート　本千葉駅東口店,1038.284493692559
72.41847988990496,61.480704156099286,12.28,袖ヶ浦公園,1051.0086305475031
79.19300519687566,63.79598455781886,11.03,郷土博物館　記念碑脇,1067.3025232150012
72.67496000096011,59.00515584213372,12.57,ファミリーマート　千葉汐見丘町店,1139.8995153115657
79.55369596465547,63.78615356434075,10.87,郷土博物館　駐車場,1140.6525860418888
73.77132005493834,64.88679689922559,11.14,セブンイレブン　千葉問屋町店,1214.958582046096
75.84287737313525,65.89114777548616,10.77,ローソン　千葉神明町店,1284.4118799706737
80.16150820030711,63.93894325524224,10.56,ローソン　千葉大医学部正門前店,1297.8242148940876
81.02976381582054,61.97105585474584,10.44,ファミリーマート　千葉旭町店,1313.2034607169785
75.75628494504453,66.23156331045105,10.68,ロイヤルステージ本千葉ステーション,1378.4578580702514
74.72483590734446,66.02713419120921,10.81,ファミリーマート　千葉出洲港店,1381.452834493822
78.13551182120078,65.94345346055644,10.66,リブレ京成ミナーレ本千葉店,1389.4256898563167
79.90422877453126,57.39796488858765,10.37,ファミリーマート　千葉祐光三丁目店,1421.4602271766375
70.99999600342882,62.06015405989832,11.83,ＪＲ千葉みなと駅北口,1453.7090336691983
78.6008462078484,56.315794125125,10.55,山部公園,1459.2669688581857
71.0370975283815,62.45152785883778,11.62,ＪＲ千葉みなと駅前,1465.227323198172
71.25427799899961,63.181992390963146,11.51,ファミリーマート　千葉みなと駅南口店,1469.3073827169055
80.72502507850068,57.99764409697071,10.16,ローソン　千葉祐光4丁目店,1485.4967857989675
70.8884582950865,62.328676151135255,11.62,JR千葉みなと駅北口第2駐輪場,1497.2041902893145
70.85082389364703,62.50805833314276,11.56,ＪＲ千葉みなと駅南口,1518.092854394317
