id,dist
9877,958.8204044508462
7919,1772.8361428917292
3597,2941.65896727838
2743,3141.03137728962
2845,3144.0808190367557
3303,3229.3538219280194
2737,3261.037287153216
2745,3345.7440099956484
2750,3385.9165174661903
2749,3392.9310704141317
2744,3570.784413696054
2751,3578.655683082706
3304,3629.8698436933364
3305,3639.3341075152975
8123,3642.8196098782487
3310,3643.251557987552
6051,3726.2267970080447
2847,3742.9676169687255
3307,3746.053292364252
2748,3755.763817714062
6050,3792.3233946665027
3309,3891.9709626142435
2736,4032.714295575554
2738,4128.1893204492435
2846,4136.603771865795
2746,4157.801547928572
3306,4166.683046876558
9191,4245.53277509987
2747,4278.88985985304
7144,4838.795724970549
6049,5004.194352870469
7145,5187.646895238251
3277,6237.127034229415
3276,8853.496360459116
3159,9247.370933587761
4388,9902.78334461433
5977,10247.079914530605
2249,10505.67730767889
2247,11076.861353694472
1840,11419.351403183517
1819,12830.264415391126
4389,14216.959485396459
1841,14326.354880511864
2248,15781.86126841189
7903,15896.52812775565
1842,16399.53804235173
3158,16452.59916614441
4387,18682.617394255733
2251,21162.624532291356
10241,34919.18588922023
10240,36256.465354986234
10242,36840.03883772633
