id,dist
5977,1086.0543657671535
2247,1960.6039628846365
3276,2829.0169727763414
1819,3645.1188272542113
1840,3773.135326374023
2249,4692.497848009752
4389,4969.596065641496
3277,5381.575327118231
7903,6698.271308244774
1841,6716.800938774711
4388,6796.822957808038
2248,7038.355683992842
1842,7480.984377588635
3158,9124.659047811952
7046,9247.370933587761
9877,9324.766009582967
4387,9500.98390721891
7919,9780.813300188842
6049,9927.965230021233
3597,9983.26679845435
3307,10249.02211710015
3303,10275.273679200905
2845,10287.242945043445
2737,10581.306589196507
2743,10615.243112268321
7145,10768.304403199436
2744,10788.562808716759
2745,10804.637780394349
2736,10829.00892660999
3305,10953.411294068586
3306,10954.688965657022
3304,10973.852402224666
2748,11013.428266066729
3309,11062.490741818978
2738,11088.485383747759
7144,11101.060174743456
2846,11134.867552997996
2750,11228.41805216389
2749,11312.159196813993
6051,11321.015481174298
9191,11345.53062493871
6050,11375.031370174986
2847,11404.85360516417
2747,11466.54365735965
8123,11472.312411345432
2751,11503.879282867085
3310,11757.15560336688
2746,11782.955011747672
2251,12033.617473944629
10241,33299.29626844741
10240,34358.581056168856
10242,35279.96232007013
