id,dist
3304,34.03454599113752
2748,117.08954484678979
2744,168.27936577760119
3309,258.24894370615215
2745,295.25073266281896
6051,413.7004309483214
2737,423.6683903136504
6050,447.73222045816846
2743,502.11402930791206
2847,513.2362262064566
2846,518.3986806777497
2738,526.2259147146949
2736,580.5189433411304
9191,606.6231023793193
2750,623.808060570348
3306,647.5682933111894
2747,655.4260221115619
3303,680.5726193163888
8123,684.4876667787986
2845,685.9028066152432
2749,726.731406249835
2751,791.4775403694944
2746,830.6581166790941
3307,895.2039300164843
3597,1000.1889612300267
3310,1104.9924068132154
7144,1374.5978313956264
7919,1885.5586668798637
7145,1977.0690395251204
6049,2345.023639240897
9877,2734.878184578789
7046,3639.3341075152975
3277,6308.618618708701
4388,9116.899590841158
3276,9605.411919318865
2249,10620.176266954682
3159,10953.411294068586
5977,11775.078734139259
2247,12908.234028861249
1840,13859.365848188183
1819,14205.290510066894
1841,14555.75730224361
4389,15750.228471798478
3158,16357.20156337174
2248,16559.46152832603
1842,17295.21505589766
7903,17597.36618574829
4387,19850.792514682562
2251,22953.658413402583
10241,32048.18619654888
10240,33442.05300137668
10242,33933.930581167624
