id,M500,M1000,M1500,M2000,M2500,M3000,M3500,M4000,M4500,M5000
ST00010066,10,18,24,45,36,48,56,58,67,58
ST00010067,8,21,27,40,37,46,61,56,66,57
ST00010068,8,19,27,42,38,46,60,59,66,59
ST00010214,3,18,29,29,49,45,58,51,70,58
ST00010216,3,18,32,39,59,58,58,60,56,48
ST00010539,1,20,25,29,51,48,56,50,67,65
ST00000384,7,21,30,42,35,46,61,53,67,53
ST00000407,6,17,27,38,47,55,57,60,61,58
ST00000480,4,16,30,36,63,48,62,65,60,48
ST00000764,9,12,28,41,35,54,57,55,67,61
ST00010045,3,18,27,43,45,56,79,57,60,54
ST00010058,3,18,27,44,40,63,76,59,57,57
ST00010161,4,13,40,29,45,59,60,80,63,55
ST00010117,3,21,15,38,50,57,62,74,62,44
ST00010169,5,10,42,30,45,58,62,76,66,55
ST00010413,2,22,18,33,55,50,66,77,55,48
ST00010641,5,10,41,33,36,63,62,73,76,45
ST00010614,6,9,42,31,43,61,63,71,68,57
ST00010442,4,14,30,50,35,63,81,58,53,63
ST00010952,2,19,20,33,54,45,67,74,61,54
ST00011021,6,11,36,40,39,64,67,67,59,62
ST00000123,7,11,28,46,41,63,72,59,66,51
ST00010059,5,9,25,26,41,64,61,53,46,60
ST00010046,4,15,21,30,40,57,62,63,58,54
ST00010060,4,12,20,29,45,53,72,43,56,61
ST00010061,5,8,22,31,40,69,52,50,51,60
ST00010062,2,13,21,26,37,63,63,54,38,58
ST00010157,4,12,24,33,38,56,64,64,62,52
ST00010162,6,11,20,34,42,64,63,51,63,56
ST00010163,6,12,21,34,57,45,63,53,70,57
ST00010327,3,14,25,33,42,60,52,64,60,63
ST00010339,7,8,18,39,42,64,62,44,62,63
ST00010352,5,7,26,32,46,68,55,46,58,65
ST00010708,3,17,18,39,38,62,62,69,55,55
ST00010764,3,13,26,35,39,61,52,58,62,65
ST00010879,3,11,19,42,52,45,63,49,61,61
ST00010934,4,12,22,39,36,59,57,53,66,63
ST00010978,4,12,22,34,38,60,53,59,62,54
ST00000161,5,9,24,33,57,45,67,48,65,61
ST00000237,3,12,18,41,54,45,60,52,60,61
ST00000635,4,13,24,29,43,55,61,60,65,51
ST00010069,12,18,18,41,46,60,65,61,71,64
ST00010070,10,18,24,35,48,64,60,64,61,67
ST00010072,11,22,22,36,42,49,51,71,77,80
ST00010073,15,17,29,28,47,56,45,67,73,83
ST00010077,7,31,22,34,41,33,51,61,79,105
ST00010088,9,24,26,38,39,54,52,63,80,79
