station_name,x,y
相原,-86.98526633925844,74.65662006430925
青井,90.55897823370132,0.5278680060736303
青砥,103.5544593298633,12.587453202188577
青海,76.43595071342799,66.62283415794877
青物横丁,62.44151579436346,73.57357853750949
青山一丁目,55.54982418412558,45.205771542179555
赤坂,60.04947545842384,45.54114077717591
赤坂見附,60.38258115137647,43.37996614756702
赤土小学校前,71.89379849466835,13.831229360840704
赤羽,54.43826102118167,-1.7099162605789373
赤羽岩淵,54.49819825055953,-4.296214322808643
赤羽橋,62.81457964022433,53.21531646472371
秋川,-103.3121676208297,20.497827743647672
昭島,-76.3524018482543,26.98422406371163
秋津,-26.98519368807562,-1.9817015598956407
秋葉原,73.37769899160378,33.702934701406704
曙橋,55.024556101239426,36.48595950191087
阿佐ケ谷,23.695911191182688,30.858407079765424
浅草,82.2963587225041,28.273130056257692
浅草,80.47027113422828,26.50819840668927
浅草橋,78.05897823369875,34.18736301587983
麻布十番,60.29213042341279,52.718628502580856
飛鳥山,60.49228444393006,10.475306337061223
足立小台,72.39799773328083,8.610121481344226
穴守稲荷,63.7038301705836,99.89819094064977
綾瀬,92.29461509401348,5.228189742604084
新井薬師前,36.62055737990562,25.987426216554876
荒川一中前,78.75461335037541,17.933279410336887
荒川区役所前,78.14942896166241,17.311692101141478
荒川車庫前,65.94076022202044,10.22644162534852
荒川七丁目,77.44289616692456,14.328459138438571
荒川二丁目,77.54388131701472,15.721202639077624
荒川遊園地前,67.85766179419463,10.350874198619644
有明,80.77431635232351,62.40257446580793
有明テニスの森,79.16000697451616,59.919704394972555
淡路町,71.38996251198022,35.33019414364874
飯田橋,63.116445322711456,32.100203920055044
井荻,15.82560809043626,22.073338171022467
軍畑,-132.01846793177845,-15.114493800184915
池上,48.01407980006019,90.23645572322987
池尻大橋,41.22301008397781,55.11572119586233
池ノ上,37.06554590101994,50.73225464651339
池袋,50.87726308447338,19.661942189590945
石川台,41.576821365259086,79.07110460322357
石神前,-125.70217372352681,-10.250877022161832
泉体育館,-55.03327424371316,24.64743187616257
和泉多摩川,0.9252128679756614,65.56949186624587
板橋,53.93406178256917,12.452286714385927
板橋区役所前,50.55396530178822,10.114989059751318
板橋本町,48.87899218273362,5.726434932941763
市ケ谷,59.75669117433481,37.06964255932738
一之江,113.26211095289179,39.30454602552862
稲城,-25.75193978670253,61.58554824391107
稲城長沼,-24.843799947698347,57.98513622855138
稲荷町,76.6764261427985,27.962651581155164
井の頭公園,4.223213507301021,34.164103450445005
入谷,77.4131091801978,23.96108471905494
岩本町,74.08386853040695,35.04482526076926
上野,74.7192031617814,26.98064494704138
上野御徒町,73.60945627851089,29.490859593296463
上野広小路,73.3573566592098,29.62775090897918
浮間舟渡,43.69242393420146,-7.778789601700434
鶯谷,75.55614483740149,23.96108471905494
牛込神楽坂,59.68585626688542,32.72153344375459
牛込柳町,55.95267501670289,33.218499807358064
牛田,87.25007991630444,13.184954544889953
牛浜,-86.33176891110845,17.564087391557383
内幸町,67.0519601290297,46.38536298045154
鵜の木,39.86189009327559,88.7608656951107
梅ケ丘,29.982781668652574,52.75662917583587
梅島,82.29526895468973,0.5650289022951955
梅屋敷,57.06496469151619,92.58101809816014
永福町,25.997137543223946,43.67913096126643
江古田,36.95329981691323,16.243914942085194
越中島,80.47099764609764,47.37846110269811
江戸川,118.10431257446513,16.16738819182528
江戸川橋,59.19110168259539,28.907052495305685
荏原中延,51.171500392311465,73.31353645396236
荏原町,49.66871058673113,76.06845661528318
恵比寿,50.202696812060054,56.8162093441745
扇大橋,72.54911220249174,4.506997699422023
王子,60.593269594020235,9.231860618055162
王子駅前,60.593269594020235,9.356296665415174
王子神谷,59.74506698439393,3.8113088535128146
青梅,-113.59449013397506,-7.365448263571674
青梅街道,-34.33967336026868,19.352731163604158
大井競馬場前,63.93522420155603,79.9641214681018
大泉学園,5.614846996599359,10.886645456475607
大井町,59.38471709627799,74.56636785696293
大岡山,41.606608351975524,74.39301149316816
大久保,45.87304931561761,32.72153344375459
大崎,57.06387492371213,68.85767608896656
大崎広小路,55.08630961030104,67.6162634543193
大島,96.10952892970661,37.565653835703564
大塚,57.041716311644734,18.829169474581157
大塚駅前,57.48597832087936,18.890923304786867
大塚・帝京大学,-56.14156810323459,61.28787430865849
大手町,70.17959373455422,39.429771615336485
大鳥居,61.35320101130131,99.00477853921251
大森,56.973424195748464,82.94187446748765
大森海岸,59.70801487896315,83.25187530603512
大森町,58.48711167940032,90.00065123331439
大山,47.799395542124564,11.370936351796045
御徒町,74.0130336229679,29.739142474096013
小川,-39.0620005230966,16.270318870267147
小川町,71.21814245444064,35.18124797387472
荻窪,17.753407340671625,30.982767645199072
尾久,66.38465897532038,12.116606133042307
奥沢,36.64271599197302,76.03137427979745
奥多摩,-172.32643631398275,-15.82310825203515
小作,-97.77396762664503,-1.0969517606740768
押上,87.98712620963843,28.297735583208645
小台,69.19916596437223,10.474858740138522
お台場海浜公園,75.42682572433363,64.38874628278663
小田急多摩センター,-53.215541541955744,66.55133120888162
小田急永山,-44.629624248063024,64.42852222346737
落合,41.76644096363951,28.24897188536326
落合南長崎,40.91896486588257,22.78119891146777
御茶ノ水,69.99760251082283,33.119196551061336
御成門,65.49795123652457,50.48322361429255
お花茶屋,97.76306994856316,11.754962714150423
小村井,93.33461683763866,28.521421415503198
面影橋,52.01752346632968,27.25444632691061
表参道,51.21145854523005,48.496725374232994
尾山台,30.145157071859362,74.67895968446187
御嶽山,40.43692423933747,84.33194369360058
神楽坂,59.42358548138219,31.3424266963957
葛西,109.35747290110436,49.32791150641656
