x,y,z,name,dist
57.17937687761716,32.394768706235155,9.39,根岸前公園,0
57.46846835728517,32.4345153345764,9.27,さいたま市文化センター,119.61443310578925
57.95177871256919,32.192989548958245,9.34,一ツ木公園,327.16843427304883
56.24943412513141,32.29150463443805,9.35,【ベルシェア】ベルニクステクニカルセンター,383.539440265266
58.22392314635401,31.80418824924371,9.37,ローソン　さいたま南本町一丁目店,491.3694861866342
58.5161439895028,31.90083869222676,9.26,武蔵野銀行　南浦和支店,583.8859563273006
57.74019407342752,31.06835288002882,9.44,セブンイレブン　さいたま南本町2丁目店,588.1257538459865
58.60892300531735,32.9475175672122,9.16,アーバンテラス　南浦和,627.9537750875767
58.24067185229767,31.17792094235436,9.3,北原公園,660.2264330913262
57.21503399105719,34.120009438947726,8.98,セブンイレブン　さいたま辻1丁目店,704.3010126341125
58.89801448498537,31.553058195314875,9.12,ホテルニュー埼玉,783.8069700791534
58.34711428611441,30.71000977026497,9.24,御嶽公園,837.7895766382923
55.0555528130733,32.34724664939717,9.33,ローソン　さいたま白幡三丁目店,870.8487398081886
59.1115164102009,31.28998973413155,9.11,浦和弁天公園,911.3799362343676
59.0441689820991,33.65515244726514,8.92,セブンイレブン　さいたま文蔵4丁目店,921.431196673806
55.13422765546096,33.402331279873216,9.12,ローソン　さいたま白幡4丁目店,933.8219172573764
58.80087199051975,30.30924570166732,9.04,セブンイレブン　南浦和1丁目店,1079.910828548247
59.77692486706315,33.033968252191784,8.72,セブンイレブン　さいたま文蔵3丁目店,1096.337519844819
59.70243720116298,31.40521172267545,8.85,UR賃貸住宅　コンフォール南浦和①,1110.323999566682
59.40911446946814,30.755686613294657,8.95,デニーズ　南浦和店,1132.6507577940436
59.94617494816702,31.881263953829645,8.73,UR賃貸住宅　コンフォール南浦和②,1153.3986840221162
57.82481911397632,35.16386231139389,8.66,セブンイレブン　さいたま辻7丁目店,1160.7819614421303
60.02154412490403,32.266230544655045,8.66,UR賃貸住宅　コンフォール南浦和③,1166.2859884592372
56.31302802498927,35.20789874374444,8.78,ローソン　さいたま辻五丁目店,1201.8729323631403
55.277252789100174,30.138225388157508,9.76,さいたま市立岸町公民館,1206.6609813294056
54.76729876870278,34.114572572985175,8.86,セブンイレブン　浦和白幡6丁目店,1212.645182166844
54.22935677916708,33.179411232619366,9.18,サポートセンター横空地,1251.0263565479609
54.01935484205047,32.68920490361937,9.22,武蔵浦和第３臨時自転車駐車場,1300.979964478176
58.627655110643865,35.28509819840968,8.56,ローソン　蕨北町5丁目店,1320.6957506794429
54.76472034950129,34.67227914329313,8.84,スタジオメイクオーバー　武蔵浦和,1357.9450787737055
53.78749947109031,32.46632345911798,9.21,武蔵浦和SKY＆GARDEN,1390.764390237691
56.199687768859285,29.0668841223382,9.82,市営高砂第1自転車駐輪場,1416.2320822075435
59.23446513448243,29.55786096736169,8.77,南浦和公民館,1431.7910584610588
53.72993681330364,31.688778081154,9.38,ファミリーマート　武蔵浦和駅東店,1443.0865199401903
59.907168093537,30.063182660246376,8.61,セブンイレブン　さいたま大谷場店,1468.2338812977368
56.2812936347819,28.86627021801532,9.81,ローソン　さいたま東高砂町店,1486.2789069817643
53.51401073327428,31.69176869389498,9.37,サイクルポート武蔵浦和1,1529.6916455204127
56.140472278247294,28.75560276247281,9.94,市営高砂第2自転車駐車場,1544.9757360349784
54.37899324410133,29.641198397910728,9.97,さいたま市教育研究所,1606.3897516815423
53.14069089293655,31.618362622024037,9.37,武蔵浦和駅西口緑地,1685.6271735695393
55.2393478230162,28.69360698643568,10.05,セブンイレブン　浦和駅西口店,1706.97420749886
56.164934204032,28.3085765947052,9.86,ストリームビル1,1718.6017738694782
56.19799086049462,28.30041909670406,9.83,ストリームビル2,1718.60977693717
56.26079850777546,28.261534980590877,9.83,ストリームビル3,1728.2487711129588
55.39801977404677,28.556291145552336,10.07,浦和駅西口さくら草通りお買い物駐輪場内シェアサイクルステーション,1728.2801777562352
60.2190025528554,35.37915068173013,8.27,セブンイレブン　さいたま文蔵5丁目店,1742.591948350438
54.41848492968909,29.044179877455807,10.01,埼玉県庁臨時駐車場,1774.9511048377235
52.93662113369015,31.394608498094307,9.39,まほら公園前,1786.4790293543265
60.89974929831487,29.80270623688214,8.02,ファミリーマート　さいたま太田窪店,1855.9953402853316
56.47026752090999,36.88651682266433,8.75,北戸田駅西口,1856.3094230602171
56.7651549343452,36.94718437191721,8.7,北戸田駅東口,1865.9124288057012
52.64021311406015,31.747774639840745,9.21,ドラッグセイムス　浦和別所店,1879.3847766791791
55.9606440670764,27.838699680057005,9.92,Est Centre,1925.2125450562228
56.151050408314326,27.767455873922504,9.87,東仲町バス停前,1934.813446252538
55.402427328243455,27.93305657226879,9.97,イトーヨーカドー　浦和店①,1961.0494491749653
55.39912166259907,27.890636810084978,9.99,イトーヨーカドー　浦和店②,1977.630227835274
54.7734693445794,28.13155819560909,10.08,セブンイレブン　浦和裏門通り店,1999.8358734969245
52.45619772640804,30.969659582943606,9.36,セブンイレブン　さいたま鹿手袋3丁目店,2021.6116163281904
56.57882558074015,37.32991330622124,8.75,ローソン　北戸田駅西口店,2029.3965852741464
57.05702317315425,37.5381676150762,8.71,ファミリーマート　戸田全農通り店,2100.018672214916
56.24228678015815,27.01176757132328,9.66,ビアンジュール浦和１,2230.018403179266
51.82102997268903,33.48874310616378,8.93,ナイルワークス研究所,2241.5576865313888
52.3166986361224,35.34816233656718,8.81,セブンイレブン　浦和内谷4丁目店,2329.6468853695505
