id,lon,lat
26,139.65882343225,35.844371034915
39,139.732244,35.889049
40,139.730709,35.892394
41,139.718152,35.889631
188,139.712935,35.894604
189,139.650656,35.955439
191,139.655688,35.923576
195,139.604566,35.930472
198,139.643929,35.879452
199,139.651599,35.872215
200,139.644323,35.863387
201,139.6417933,35.8725779
202,139.628921,35.904469
203,139.626261,35.899438
204,139.652098,35.837665
207,139.646476,35.864546
271,139.682034,35.956806
275,139.644071,35.94181
276,139.6468674,35.9503205
277,139.641417,35.948431
280,139.60033,35.951022
281,139.623183,35.95326
287,139.605133,35.897446
288,139.61327,35.91876
289,139.617038,35.919953
290,139.614996,35.911497
291,139.652126,35.859671
292,139.65771,35.873153
293,139.674427,35.871649
294,139.6844904,35.8764655
296,139.67483,35.84164
326,139.695907,35.951047
327,139.596042,35.802869
330,139.653418,35.911622
332,139.64225,35.894753
333,139.604758,35.884783
335,139.598024,35.914832
336,139.620893,35.933895
338,139.60302,35.945856
341,139.675421,35.852567
342,139.663205,35.837645
344,139.641611,35.849233
347,139.633458,35.86973
356,139.627038,35.906043
357,139.623712,35.89071
359,139.612318,35.800941
360,139.610064,35.794957
364,139.637766,35.863161
366,139.65424,35.857604
367,139.665588,35.84887
368,139.698643,35.866924
370,139.677518,35.882725
372,139.600583,35.797028
375,139.665099,35.891335
376,139.60934,35.89506
377,139.608555,35.940414
380,139.70423,35.863
381,139.703291,35.875158
382,139.691124,35.871784
383,139.68641,35.88445
384,139.665972,35.833805
386,139.614641,35.863025
387,139.608802,35.869029
388,139.670772,35.881451
389,139.625046,35.878418
390,139.716212,35.957594
391,139.6351,35.840908
394,139.599473,35.796634
396,139.673162,35.873194
397,139.685857,35.866934
398,139.670401,35.851662
399,139.606108,35.910991
416,139.594479,35.796555
432,139.640978,35.833127
433,139.676836,35.833013
434,139.596358,35.793326
484,139.59438,35.79264
486,139.601694,35.797051
487,139.584821,35.794322
636,139.727795,35.893282
637,139.73126,35.902104
666,139.70519,35.869922
668,139.700891,35.864453
671,139.605124,35.806744
673,139.587157,35.807691
747,139.646923,35.872826
892,139.643097,35.892533
895,139.597141,35.81245
905,139.590771,35.81319
907,139.587527,35.815287
1418,139.617453,35.890175
1420,139.599429,35.816276
1432,139.589273,35.824949
1433,139.606594,35.823652
1444,139.600152,35.900347
1445,139.643952,35.941974
1446,139.614238,35.939918
1448,139.622225,35.858968
1489,139.637608,35.83687
1491,139.604867,35.86462
1519,139.576183,35.807415
1536,139.622569,35.904935
1537,139.65498,35.860401
1538,139.654965,35.860557
1553,139.511719,35.876044
1560,139.580009,35.820639
1561,139.5979309,35.8193949
1562,139.597228,35.814248
1563,139.594606,35.811185
1633,139.610807,35.914741
1706,139.600313,35.807141
1712,139.592787,35.797489
1814,139.67169,35.86456
1876,139.67597,35.8079782
1877,139.682919,35.808588
1959,139.68485,35.868779
1960,139.73193,35.894481
1961,139.682969,35.90385
1962,139.669187,35.913156
1963,139.6593,35.923706
1964,139.6497686,35.930162
1965,139.646249,35.931924
1966,139.655098,35.958811
1967,139.654673,35.9561756
1968,139.6900605,35.9630592
1969,139.6943383,35.9550407
1970,139.7081813,35.9542077
1971,139.70788,35.946898
1972,139.685011,35.942291
1973,139.6972969,35.9425452
1974,139.6570245,35.9394233
2061,139.589817,35.79604
2128,139.732146,35.895101
2129,139.62572,35.905417
2172,139.658968,35.856969
2174,139.62146,35.861164
2175,139.593055,35.91422
2176,139.653406,35.844166
2177,139.663973,35.94195
2178,139.659129,35.949287
2179,139.670635,35.930914
2180,139.648479,35.929459
2182,139.614735,35.914717
2183,139.655214,35.935789
2184,139.601145,35.937373
2185,139.644589,35.88938
2186,139.623525,35.844734
2187,139.637734,35.852612
2188,139.679925,35.853525
2189,139.6473908,35.846588
2190,139.597124,35.89871
2191,139.621674,35.873863
2195,139.659112,35.833643
2196,139.699305,35.860531
2214,139.584718,35.916224
2244,139.594035,35.918714
2375,139.694096,35.85523
2376,139.606767,35.902819
2377,139.639016,35.882842
2378,139.596241,35.92569
2379,139.610506,35.918826
2380,139.601567,35.92969
2381,139.605416,35.926565
2382,139.614037,35.92923
2383,139.608444,35.940743
2422,139.658329,35.857376
2426,139.621456,35.901006
2455,139.671505,35.839355
2473,139.482155,35.908585
2474,139.48783,35.916996
2475,139.49158,35.9253
2476,139.485428,35.92437
2477,139.482955,35.924478
2478,139.482942,35.921928
2479,139.494769,35.926634
2480,139.483799,35.91601
2481,139.482105,35.915036
2482,139.488787,35.927052
2483,139.481641,35.908704
2484,139.47714246341,35.915403132769
2510,139.66015,35.811715
2512,139.647601,35.805806
2528,139.632652,35.893985
2545,139.673161,35.85002
2546,139.627798,35.83995
2559,139.65496,35.858109
2568,139.594973,35.794063
2582,139.704407,35.864683
2588,139.605102,35.818775
2597,139.730927,35.886647
2600,139.683972,35.871167
2601,139.685617,35.872018
2602,139.727099,35.894353
2604,139.646521,35.861527
2605,139.618226,35.844861
2606,139.61023,35.855579
2607,139.601462,35.85898
2608,139.626851,35.883494
2609,139.628729,35.88388
2610,139.637589,35.883846
2611,139.579962,35.925045
2612,139.619836,35.931217
2615,139.650801,35.902707
2616,139.626497,35.907542
2617,139.647715,35.924028
2618,139.613165,35.883429
2645,139.606348,35.931096
2734,139.657513,35.860748
2752,139.6603181,35.8258362
2753,139.654572,35.822443
2775,139.606196,35.94009
2776,139.630123,35.938988
2777,139.654412,35.852291
2800,139.631236,35.857554
2873,139.579672,35.801784
2902,139.730344,35.89878
2962,139.742882,35.880885
2963,139.754691,35.858343
