id,min,max,mean
3178,-20,30,5.0
3179,-20,30,5.0
3180,-20,20,0.0
3181,-30,20,-5.0
3182,0,20,10.0
3183,-30,0,-15.0
3184,-30,20,-5.0
3185,-20,30,5.0
3186,0,20,10.0
3199,-40,20,-10.0
3204,-10,10,0.0
3205,-40,10,-15.0
3207,-30,0,-15.0
3208,-30,0,-15.0
3209,-30,0,-15.0
3210,-40,0,-20.0
3211,-30,0,-15.0
3214,-20,30,5.0
3215,-20,20,0.0
3217,-20,20,0.0
3219,-20,10,-5.0
3220,-30,0,-15.0
3221,-30,10,-10.0
3222,10,40,25.0
3223,10,40,25.0
3224,10,30,20.0
3225,-10,0,-5.0
3226,-10,0,-5.0
3227,-20,20,0.0
3228,-20,30,5.0
3229,-30,10,-10.0
3230,10,30,20.0
3231,-10,10,0.0
3240,-30,10,-10.0
3243,-20,30,5.0
3272,-10,10,0.0
3273,-10,10,0.0
3289,-10,10,0.0
3311,-10,10,0.0
3336,-10,0,-5.0
3337,-30,0,-15.0
3338,-10,0,-5.0
3339,-10,10,0.0
3341,-30,10,-10.0
3342,-30,0,-15.0
3343,-10,10,0.0
3345,-40,10,-15.0
3346,-10,10,0.0
3348,-20,30,5.0
3349,-10,10,0.0
3350,-20,20,0.0
3351,-10,10,0.0
3352,-10,10,0.0
3353,-10,0,-5.0
3354,-10,0,-5.0
3356,0,40,20.0
3357,-40,10,-15.0
3370,-10,10,0.0
3371,-10,10,0.0
3374,-10,20,5.0
3375,-10,20,5.0
3403,-30,10,-10.0
3409,-20,10,-5.0
3410,-20,10,-5.0
3424,-40,10,-15.0
3426,-10,20,5.0
3434,-20,0,-10.0
3435,-20,30,5.0
3436,-10,10,0.0
3437,-30,0,-15.0
3444,-10,10,0.0
3501,-20,10,-5.0
3502,-40,20,-10.0
3539,0,20,10.0
3551,-30,10,-10.0
3552,-10,10,0.0
3553,-10,10,0.0
3554,-40,10,-15.0
3556,-30,10,-10.0
3557,-30,10,-10.0
3559,-10,10,0.0
3560,-10,10,0.0
3561,-10,10,0.0
3562,-10,20,5.0
3573,-20,20,0.0
3591,-20,20,0.0
3592,0,10,5.0
3593,0,20,10.0
3594,-10,10,0.0
3595,-10,0,-5.0
3611,0,20,10.0
3651,-20,10,-5.0
3694,-20,10,-5.0
3701,-20,0,-10.0
3702,-10,10,0.0
3707,-10,10,0.0
3711,-10,0,-5.0
3741,-10,0,-5.0
3742,-20,20,0.0
3745,-10,10,0.0
3747,-10,0,-5.0
3806,-10,10,0.0
3807,-40,20,-10.0
3816,-20,10,-5.0
3818,-40,10,-15.0
3838,-20,20,0.0
3843,-40,0,-20.0
3844,-20,20,0.0
3845,-20,10,-5.0
3846,-20,20,0.0
3848,-20,10,-5.0
3849,-20,10,-5.0
3850,-20,20,0.0
3851,-20,30,5.0
3852,-20,10,-5.0
3861,-30,10,-10.0
3862,-30,10,-10.0
3873,-10,10,0.0
3874,-10,10,0.0
3875,-40,10,-15.0
3876,-20,0,-10.0
3877,-40,20,-10.0
3888,-10,10,0.0
3893,-30,10,-10.0
3894,-30,10,-10.0
3895,-30,10,-10.0
3896,-10,10,0.0
3897,-10,10,0.0
3921,-10,10,0.0
3923,-10,0,-5.0
3924,-10,10,0.0
3925,-10,0,-5.0
3931,-20,30,5.0
3932,-10,10,0.0
3933,-30,20,-5.0
3934,-20,30,5.0
3937,-40,10,-15.0
3956,-40,20,-10.0
3957,-40,20,-10.0
3958,-40,20,-10.0
3959,-40,20,-10.0
3960,-40,20,-10.0
3962,-10,10,0.0
3963,-10,10,0.0
3964,-10,20,5.0
3965,-10,20,5.0
3966,-10,10,0.0
3969,-40,0,-20.0
3972,-40,10,-15.0
3973,-40,10,-15.0
3974,0,0,0.0
3975,-10,10,0.0
3976,-40,10,-15.0
3977,-40,20,-10.0
3978,-40,0,-20.0
3979,0,0,0.0
3980,0,0,0.0
3981,0,0,0.0
3982,0,0,0.0
3983,-10,10,0.0
3984,-40,10,-15.0
3985,-10,10,0.0
3986,-10,10,0.0
3987,0,0,0.0
3990,-40,0,-20.0
3991,-40,0,-20.0
3992,-10,20,5.0
3993,-10,0,-5.0
3994,-10,10,0.0
3995,-10,10,0.0
3996,-40,0,-20.0
3997,-40,10,-15.0
3998,-10,10,0.0
3999,-10,10,0.0
4000,-40,0,-20.0
4001,-40,0,-20.0
4002,-40,0,-20.0
4004,-40,0,-20.0
4005,-40,0,-20.0
4006,-40,0,-20.0
4007,-10,20,5.0
4008,-40,0,-20.0
4012,-10,20,5.0
4014,-20,30,5.0
4015,-20,30,5.0
4038,-10,10,0.0
4039,-10,10,0.0
4046,-10,10,0.0
4052,-20,30,5.0
4053,-20,20,0.0
4054,-20,20,0.0
4055,-20,10,-5.0
4095,-20,30,5.0
4096,-30,10,-10.0
4097,-10,10,0.0
4098,-10,10,0.0
4099,-10,10,0.0
4100,-10,10,0.0
4104,-40,0,-20.0
4105,-10,10,0.0
4106,-40,10,-15.0
4107,-30,10,-10.0
4108,-20,30,5.0
4109,-40,20,-10.0
4127,-10,0,-5.0
4128,-10,0,-5.0
4129,-10,10,0.0
4130,-40,10,-15.0
4131,-10,10,0.0
4132,-10,10,0.0
4153,-10,0,-5.0
4154,-10,10,0.0
4155,-10,20,5.0
4156,-10,10,0.0
4157,-10,10,0.0
4158,-10,10,0.0
4159,-10,10,0.0
4160,-10,10,0.0
4161,-10,10,0.0
4162,0,10,5.0
4163,0,20,10.0
4164,-10,20,5.0
4165,-10,20,5.0
4166,-10,20,5.0
4172,-40,0,-20.0
4182,-40,10,-15.0
4183,-40,20,-10.0
4184,-40,20,-10.0
4186,-20,20,0.0
4187,-20,20,0.0
4188,-20,0,-10.0
4189,-20,10,-5.0
4190,-20,20,0.0
4191,-20,20,0.0
4192,-20,20,0.0
4194,-20,30,5.0
4195,-20,30,5.0
4196,-30,0,-15.0
4197,-40,20,-10.0
4204,-30,0,-15.0
4205,-20,30,5.0
4206,-10,10,0.0
4207,-40,10,-15.0
4214,-40,10,-15.0
4215,-40,10,-15.0
4216,-40,10,-15.0
4217,-40,10,-15.0
4218,-40,10,-15.0
4219,-10,10,0.0
4220,-40,10,-15.0
4221,-10,0,-5.0
4222,-30,10,-10.0
4223,-20,30,5.0
4247,-40,0,-20.0
4248,-40,10,-15.0
4249,-20,0,-10.0
4250,-20,0,-10.0
4252,-20,40,10.0
4253,-20,30,5.0
4261,-30,10,-10.0
4282,-40,10,-15.0
4329,0,20,10.0
4330,0,10,5.0
4331,0,30,15.0
4339,-10,20,5.0
4340,-30,10,-10.0
4351,0,20,10.0
4352,-10,20,5.0
4353,0,10,5.0
4354,0,10,5.0
4359,-20,20,0.0
4361,-30,0,-15.0
4391,-20,30,5.0
4392,-20,10,-5.0
4393,-30,30,0.0
4459,-30,0,-15.0
4491,-30,0,-15.0
4492,-30,0,-15.0
4498,-30,0,-15.0
4818,-20,30,5.0
4903,-10,0,-5.0
4904,-10,20,5.0
4906,0,10,5.0
4907,-10,10,0.0
4908,0,20,10.0
4909,-10,10,0.0
4925,-10,20,5.0
4926,-10,10,0.0
4932,-40,0,-20.0
4942,-40,20,-10.0
4958,0,30,15.0
4972,-20,20,0.0
4973,-20,0,-10.0
4978,-30,20,-5.0
4979,-10,10,0.0
4980,-10,10,0.0
4989,-20,30,5.0
4990,-20,20,0.0
4991,-40,20,-10.0
4992,-40,0,-20.0
4994,-20,10,-5.0
4995,-40,20,-10.0
4996,-40,30,-5.0
4997,10,30,20.0
5004,-20,20,0.0
5005,-20,30,5.0
5009,-20,10,-5.0
5036,-40,0,-20.0
5037,-10,10,0.0
5038,-10,10,0.0
5039,-10,10,0.0
5046,-10,0,-5.0
5061,-10,0,-5.0
5164,-30,10,-10.0
5211,-30,10,-10.0
5215,-10,10,0.0
5216,-40,30,-5.0
5217,-40,0,-20.0
5218,-30,0,-15.0
5219,-40,10,-15.0
5272,-40,10,-15.0
5273,0,30,15.0
5303,-10,10,0.0
5331,-20,0,-10.0
5339,-20,10,-5.0
5340,-20,10,-2.857142857142857
5380,0,40,20.0
5417,-20,30,5.0
5420,0,0,0.0
5423,0,10,5.0
5424,0,10,5.0
5435,10,30,20.0
5436,-40,20,-10.0
5465,60,90,75.0
5466,60,90,75.0
5467,60,90,75.0
5468,60,100,80.0
5469,60,110,85.0
5471,60,90,75.0
5472,70,100,85.0
5473,60,90,75.0
5474,60,90,75.0
5475,60,90,75.0
5476,40,80,60.0
5477,20,70,45.0
5478,40,60,50.0
5480,40,70,55.0
5482,40,80,60.0
5484,40,80,60.0
5487,40,80,60.0
5488,40,70,55.0
5489,40,70,55.0
5490,40,70,55.0
5491,40,80,60.0
5492,40,70,55.0
5493,0,50,25.0
5494,0,40,20.0
5495,0,60,30.0
5496,40,70,55.0
5497,60,90,75.0
5498,40,70,55.0
5499,0,50,25.0
5500,-20,20,0.0
5526,-30,10,-10.0
5534,0,30,15.0
5565,-40,10,-15.0
5569,0,10,5.0
5570,0,10,5.0
5571,0,20,10.0
5593,-10,0,-5.0
5595,-20,10,-5.0
5614,-10,10,0.0
5617,10,40,25.0
5644,-20,30,5.0
5645,-20,20,0.0
5646,-20,10,-5.0
5647,-30,10,-10.0
5648,-30,0,-15.0
5649,-10,10,0.0
5679,-10,0,-5.0
5680,-10,0,-5.0
5681,-10,0,-5.0
5682,-10,0,-5.0
5683,-40,0,-20.0
5684,-10,0,-5.0
5685,-10,0,-5.0
5686,-20,0,-10.0
5687,-10,10,0.0
5688,-10,0,-5.0
5689,-30,10,-10.0
5700,-30,0,-15.0
5701,-30,0,-15.0
5702,-10,0,-5.0
5703,-10,0,-5.0
5704,-10,0,-5.0
5705,-10,0,-5.0
5718,-10,10,0.0
5719,-10,10,0.0
5720,-10,0,-5.0
5721,-10,10,0.0
5722,-30,10,-10.0
5723,-10,10,0.0
5724,-10,20,5.0
5743,-10,0,-5.0
5744,-10,0,-5.0
5746,-10,0,-5.0
5749,-20,40,10.0
5750,-20,40,10.0
5751,-20,30,5.0
5752,-20,30,5.0
5766,-40,20,-10.0
5767,-40,20,-10.0
5768,-20,10,-5.0
5769,-20,20,0.0
5770,-20,20,0.0
5771,-20,30,5.0
5772,-20,30,5.0
5773,-20,20,0.0
5774,-20,20,0.0
5775,-20,10,-5.0
5776,-20,20,0.0
5777,-20,20,0.0
5778,-10,20,5.0
5783,-20,40,10.0
5784,-20,30,5.0
5785,-20,10,-5.0
5786,-20,20,0.0
5787,10,20,15.0
5788,10,40,25.0
5790,10,40,25.0
5791,10,40,25.0
5792,10,40,25.0
5794,10,30,20.0
5795,10,30,20.0
5796,10,40,25.0
5798,10,30,20.0
5799,10,50,30.0
5801,10,50,30.0
5826,-10,20,5.0
5831,-10,0,-5.0
5832,-30,0,-15.0
5833,-10,0,-5.0
5838,60,100,80.0
5839,40,70,55.0
5840,40,70,55.0
5841,60,110,85.0
5842,40,80,60.0
5843,40,80,60.0
5844,40,70,55.0
5845,40,70,55.0
5846,10,50,30.0
5852,-10,10,0.0
5853,-10,10,0.0
5854,-30,10,-10.0
5856,-10,20,5.0
5857,-10,0,-5.0
5858,-30,0,-15.0
5860,-20,20,0.0
5862,-20,10,-5.0
5885,-30,0,-15.0
5886,-10,0,-5.0
5887,-10,0,-5.0
5888,-30,0,-15.0
5889,-30,0,-15.0
5890,-30,0,-15.0
5891,-30,20,-5.0
5892,-10,0,-5.0
5893,-10,0,-5.0
5894,-10,10,0.0
5895,-10,0,-5.0
5896,-10,0,-5.0
5899,-10,10,0.0
5900,-10,0,-5.0
5901,-10,10,0.0
5902,-10,10,0.0
5903,-20,10,-5.0
5904,-20,10,-5.0
5905,-20,0,-10.0
5906,-10,0,-5.0
5909,-30,0,-15.0
5910,-10,0,-5.0
5913,-10,0,-5.0
5914,-10,0,-5.0
5915,-30,0,-15.0
5916,-30,10,-10.0
5917,-10,0,-5.0
5918,-10,0,-5.0
5922,-10,0,-5.0
5923,-10,10,0.0
5924,-10,10,0.0
5925,-30,10,-10.0
5927,-30,0,-15.0
5953,-10,0,-5.0
6057,40,70,55.0
6058,0,20,10.0
6059,40,70,55.0
6061,40,70,55.0
6062,40,80,60.0
6063,60,110,85.0
6064,70,130,100.0
6065,0,20,10.0
6066,-10,10,0.0
6067,0,10,5.0
6068,-10,10,0.0
6069,0,50,25.0
6071,60,90,75.0
6072,60,90,75.0
6073,0,60,30.0
6497,-10,0,-5.0
6498,-10,0,-5.0
6499,-10,0,-5.0
6500,-10,0,-5.0
6501,-10,0,-5.0
6502,-20,30,5.0
6503,-20,30,5.0
6504,-20,30,5.0
6505,-40,20,-10.0
6506,-40,20,-10.0
6507,-20,20,0.0
6514,-10,10,0.0
6533,-10,10,0.0
6534,-10,10,0.0
6541,-10,0,-5.0
6550,40,80,60.0
6551,0,50,25.0
6552,10,30,20.0
6594,-30,10,-10.0
6595,-30,0,-15.0
6604,0,40,20.0
6605,40,110,75.0
6606,70,80,75.0
6607,70,80,75.0
6608,0,60,30.0
6609,60,100,80.0
6610,20,60,40.0
6611,-30,0,-15.0
6612,-10,0,-5.0
6613,-10,0,-5.0
6624,10,30,20.0
6625,-10,10,0.0
6626,0,20,10.0
6627,-10,20,5.0
6628,0,20,10.0
6629,0,20,10.0
6630,0,10,5.0
6631,0,20,10.0
6632,0,20,10.0
6633,0,20,10.0
6634,0,20,10.0
6635,0,20,10.0
6636,0,20,10.0
6637,0,20,10.0
6671,-10,10,0.0
6684,-30,30,0.0
6685,-30,20,-5.0
6686,-20,40,10.0
6687,-30,30,0.0
6688,-30,30,0.0
6689,-30,30,0.0
6690,10,40,25.0
6705,-40,0,-20.0
6708,-40,20,-10.0
6710,-20,20,0.0
6711,-20,10,-5.0
6717,-40,0,-20.0
6726,40,90,65.0
6728,20,60,40.0
6729,70,90,80.0
6832,-20,20,0.0
6834,-20,10,-5.0
6874,-10,20,5.0
6875,0,10,5.0
6876,0,10,5.0
6877,0,10,5.0
6878,-10,10,0.0
6879,-10,10,0.0
6880,0,10,5.0
6881,-10,20,5.0
6884,-10,20,5.0
6885,-10,20,5.0
6886,-10,20,5.0
6887,-10,10,0.0
6888,-10,20,5.0
6889,-10,20,5.0
6890,-10,20,5.0
6891,-10,10,0.0
6892,-10,20,5.0
6893,-10,20,5.0
6894,0,20,10.0
6906,-40,10,-15.0
6917,60,110,85.0
6919,0,40,20.0
6961,-10,0,-5.0
6963,-30,0,-15.0
6967,-30,0,-15.0
6978,-20,40,10.0
7004,40,60,50.0
7023,-10,0,-5.0
7030,-20,30,5.0
7031,-20,30,5.0
7032,-20,30,5.0
7041,-10,0,-5.0
7050,-10,10,0.0
7051,-10,10,0.0
7052,-10,10,0.0
7053,-10,10,0.0
7054,-20,20,0.0
7055,-10,0,-5.0
7056,-40,0,-20.0
