begin_x,begin_y,begin_z,end_x,end_y,end_z
75.64913835691829,45.46065244810165,18.28,65.20625672022926,58.22785697603027,15.93
49.05371828775067,35.73990472382796,12.62,59.72145534857746,50.01242950177455,16.79
33.686175932108355,29.35083623359828,6.63,27.24237889046228,45.764718516527424,3.09
74.46528726279655,39.26205867184868,17.95,70.15380256312964,23.697101524458464,9.39
73.5756734765026,44.14598404595996,19.08,63.62391386474645,58.44286237430356,15.7
48.30359478073706,59.696215274372335,9.98,56.31302490482915,73.99491418640027,10.75
62.90684664787175,52.87867812344844,17.13,66.1801458835766,35.819073147156736,18.49
23.82050797709965,43.09510882937131,2.89,41.17324402080209,44.20456383906103,9.11
20.72919996512621,27.67722373950928,4.11,36.91624771148245,34.418615948582634,8.11
18.00114788875649,34.9464216682492,2.98,8.799875039948637,19.795738893122227,3.64
17.728705937051114,26.983776674078165,3.85,5.171311499223779,15.771773599223629,3.5
59.3647380198187,59.05479373200211,14.48,62.45895207926963,75.06990077603167,9.94
56.119046235211854,24.357055845283213,9.55,60.242727616161446,40.34032733121128,18.2
51.44466885588623,64.67790295357854,11.1,64.18514428525933,54.26455265984066,17.13
57.056973060932464,46.17609789718564,16.31,46.13096102990463,59.57240169923732,8.87
69.19662317281912,34.94105419187649,17.9,56.119046235211854,24.357055845283213,9.55
59.055607218617226,45.66097861972555,17.51,74.09621923221721,52.46916425503518,17.04
66.1801458835766,35.819073147156736,18.49,69.3847897474608,53.22559886084384,17.73
81.52117055592495,53.61990416319754,13.32,65.5942140594535,46.80746659414688,19.38
64.39910203132558,62.3194424546705,14.3,70.48945104762505,46.9787211917824,19.53
80.30898549882555,41.40201668688761,15.36,67.99206649036873,29.20007564345245,14.35
74.09621923221721,52.46916425503518,17.04,59.921972625029404,44.25822463351806,18.13
54.82476533666717,34.758559510867975,14.63,61.85267792275258,20.002473949095588,7.1
80.30898549882555,41.40201668688761,15.36,67.67276452296511,54.020016770893406,17.46
41.72539304291688,42.3563473873634,9.71,51.17585946353801,27.979651913424707,10.55
46.70199936066432,52.90952559358151,10.1,58.47803028101255,39.49596210678829,17.43
80.2959082851356,34.98667771638343,12.79,67.17437737932822,46.79002809023511,19.47
69.6423382058028,53.10668053428103,17.74,66.59897997733165,35.47064131387804,18.5
62.44914416901249,32.7904202837696,16.75,59.72145534857746,50.01242950177455,16.79
44.58784981546069,53.14199842461022,9.02,53.25876899828648,67.73870851796865,11.31
46.876362209757005,39.03888742579257,12.08,45.40372264682778,55.84080780102705,8.94
58.27714974862592,44.7630793267314,17.34,45.95587166894257,33.37997883632063,10.99
33.50382145244228,26.651812079749824,5.89,15.93785417453264,30.6521823081711,3.29
71.99732643631164,53.71825628125083,17.02,58.27714974862592,44.7630793267314,17.34
63.853128360110766,63.91411310372215,13.68,80.68059632093735,62.41464199992439,9.03
52.36733893231909,41.20613871854689,14.24,39.93926360755963,51.95368870243844,6.92
66.59897997733165,35.47064131387804,18.5,52.646682746793815,46.57763537252926,14.12
89.4474150707574,56.70445524848046,7.63,72.04672924355268,53.82554919195941,17.01
62.74374473278528,52.156660883674384,17.26,46.34855133532805,52.19421508141311,10.1
68.34188195634782,84.79915920103507,5.67,50.60809043619048,82.82171491811481,8.99
75.41302199877431,69.64817159638437,7.22,59.23832495422831,65.118560705846,13.01
66.1801458835766,35.819073147156736,18.49,62.74374473278528,52.156660883674384,17.26
76.81736944581758,49.63239173896258,17.07,69.81851733456891,34.77824035466936,17.7
56.31302490482915,73.99491418640027,10.75,46.13096102990463,59.57240169923732,8.87
50.94010636133905,36.16347610762888,13.44,65.70863967916833,29.348152074422384,14.63
61.67686204992115,79.49505586064112,9.23,72.77578390630295,66.01192622493583,10.36
66.19976170410119,29.33652071529073,14.65,50.49112202493287,37.62692796910605,13.31
55.305716195397885,35.23626419929759,15.08,67.17437737932822,46.79002809023511,19.47
68.77451977565188,80.18614371020959,6.28,54.24464560750938,72.66967841241234,10.67
46.02706983231632,51.95011208967283,9.96,61.622373659584206,59.0735672092102,15.21
65.22587254075387,79.7599670027098,7.96,74.75843480282026,65.2861522375188,9.95
66.13146958821525,46.51995376367987,19.39,64.36386620556823,62.6711878674077,14.19
62.71105169858103,48.93087611253048,18.16,59.8355177123576,31.1661763210492,15.02
55.32351573624908,30.279990548578287,12.91,39.81539333352236,38.80363927051663,9.24
96.16401732004356,57.98334822414843,4.09,88.98281072912881,43.49176196170146,10.48
76.28120368487023,61.196694408743696,11.79,62.27405480805044,72.5740593656592,10.66
77.08472581441673,49.60556539128582,16.94,73.20842172560701,33.415316254933,15.85
41.04501467553827,73.29968536210768,6.08,58.05156781261878,68.5001822715323,12.01
71.99732643631164,53.71825628125083,17.02,88.88146232309361,51.71629025942376,9.46
65.3762604980954,51.88752131017517,18.04,58.09152596552704,67.4875616208494,12.23
47.87313649705143,39.99998972667117,12.39,57.19028798930252,26.164149590571157,10.98
48.46015808897856,60.91555491911653,9.99,65.20625672022926,58.22785697603027,15.93
63.37145098951068,51.182920392818495,17.7,46.02706983231632,51.95011208967283,9.96
48.48921856382562,48.1792688661598,11.71,59.82135073086359,34.726354470000096,16.8
66.9985615064968,56.426409540396655,16.54,63.440832873211,72.7635099382718,10.32
67.99206649036873,29.20007564345245,14.35,61.26238702740296,45.35467587144295,18.35
64.79868356049073,74.30097143223666,9.56,64.54077184621403,57.334296764338205,16.11
42.38288628635871,58.211318045336114,7.17,39.65665048966242,75.14496097661099,5.48
60.33317834413544,48.98095289224596,17.08,50.578666705408736,62.29932984243279,11.03
64.2668768707699,48.489571455818975,18.74,68.10322280666107,31.08118217375384,15.68
45.869780012205446,70.35821738019037,8.31,61.78365929498694,68.32947771188883,12.17
78.29000900874681,64.26092666847977,9.15,63.19200255732208,56.45054864251123,16.15
71.31840109267178,49.02655846954813,19.11,88.88146232309361,51.71629025942376,9.46
59.97464473569293,24.39105994034273,10.39,60.70297288657383,41.79779423124458,18.48
60.649574264040936,80.60293425644682,9.36,53.80437941355629,65.39385731389478,11.8
94.88608293859066,60.55351193498535,3.89,88.98281072912881,43.49176196170146,10.48
48.96690011914418,90.80809652214222,7.17,48.64432884832839,74.583792805721,9.19
